!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 19:34:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.31810758,-0.79639703
1001000000,0.31041691,-0.79182708
1002000000,0.30490038,-0.78635973
1003000000,0.30071342,-0.78524369
1004000000,0.29642555,-0.77912813
1005000000,0.29121622,-0.77689433
1006000000,0.2873559,-0.77332014
1007000000,0.28448853,-0.77013272
1008000000,0.27979493,-0.76687813
1009000000,0.27621847,-0.76469183
1010000000,0.27171463,-0.76297188
1011000000,0.26451483,-0.76166511
1012000000,0.26208165,-0.75612444
1013000000,0.25843123,-0.75589335
1014000000,0.25110155,-0.75214487
1015000000,0.24750924,-0.75151438
1016000000,0.24019629,-0.74866438
1017000000,0.23779319,-0.74671978
1018000000,0.23144554,-0.74323422
1019000000,0.22634794,-0.74230623
1020000000,0.21890877,-0.73776037
1021000000,0.21435718,-0.73556787
1022000000,0.20917583,-0.73053956
1023000000,0.20572892,-0.7262857
1024000000,0.19830351,-0.72116965
1025000000,0.19644916,-0.71916026
1026000000,0.18804066,-0.71657795
1027000000,0.18433468,-0.71213889
1028000000,0.17864777,-0.70562208
1029000000,0.17567559,-0.7004174
1030000000,0.17374113,-0.69778764
1031000000,0.17054856,-0.69397062
1032000000,0.16625158,-0.68978149
1033000000,0.16459395,-0.68808931
1034000000,0.16027364,-0.68610412
1035000000,0.15453167,-0.68276536
1036000000,0.14799246,-0.67742163
1037000000,0.14600536,-0.67294842
1038000000,0.14109062,-0.67009354
1039000000,0.13783306,-0.66661698
1040000000,0.13564326,-0.6634534
1041000000,0.13272312,-0.66038138
1042000000,0.12634659,-0.65780652
1043000000,0.12420318,-0.65396535
1044000000,0.11935678,-0.65220737
1045000000,0.11384552,-0.64873135
1046000000,0.10998811,-0.64642411
1047000000,0.10243325,-0.64192533
1048000000,0.097841494,-0.63880467
1049000000,0.092941523,-0.63437784
1050000000,0.086713426,-0.63073546
1051000000,0.08246699,-0.62548184
1052000000,0.075586036,-0.61982912
1053000000,0.071439661,-0.61501247
1054000000,0.067165613,-0.60748488
1055000000,0.061266016,-0.59928632
1056000000,0.060364261,-0.59397531
1057000000,0.058697358,-0.58825451
1058000000,0.056671537,-0.58240521
1059000000,0.056439023,-0.57830197
1060000000,0.053390797,-0.57394755
1061000000,0.0513441,-0.57125056
1062000000,0.050183274,-0.5675571
1063000000,0.045522269,-0.56537098
1064000000,0.039118439,-0.56321472
1065000000,0.034727398,-0.55884701
1066000000,0.02958883,-0.55539769
1067000000,0.025239222,-0.55074221
1068000000,0.019254413,-0.54576647
1069000000,0.013753857,-0.54135817
1070000000,0.0079942755,-0.53421807
1071000000,0.0022318731,-0.52758861
1072000000,-0.0033885851,-0.52101952
1073000000,-0.0078423144,-0.5132122
1074000000,-0.012308056,-0.50437105
1075000000,-0.012774548,-0.49687919
1076000000,-0.014897427,-0.48946103
1077000000,-0.017947903,-0.48346439
1078000000,-0.020789061,-0.47752523
1079000000,-0.023645651,-0.47297272
1080000000,-0.026731143,-0.46473062
1081000000,-0.03083794,-0.45893654
1082000000,-0.032303303,-0.45140675
1083000000,-0.03486073,-0.44358027
1084000000,-0.036339015,-0.43624166
1085000000,-0.038893647,-0.43047446
1086000000,-0.041378897,-0.42289704
1087000000,-0.044400241,-0.41410872
1088000000,-0.046496518,-0.40629449
1089000000,-0.046759665,-0.39782575
1090000000,-0.047006719,-0.39103264
1091000000,-0.045624886,-0.38275242
1092000000,-0.042598359,-0.37556231
1093000000,-0.041513968,-0.37134561
1094000000,-0.04098995,-0.3670578
1095000000,-0.039414816,-0.3619673
1096000000,-0.04010864,-0.36002791
1097000000,-0.040030703,-0.35647061
1098000000,-0.041842274,-0.35344237
1099000000,-0.04447832,-0.35021359
1100000000,-0.047163773,-0.3468146
1101000000,-0.052318487,-0.3418276
1102000000,-0.055098042,-0.33655161
1103000000,-0.057967816,-0.33095288
1104000000,-0.061210427,-0.32386923
1105000000,-0.062626064,-0.31797403
1106000000,-0.064587004,-0.31172359
1107000000,-0.067542218,-0.3056471
1108000000,-0.069447272,-0.29824835
1109000000,-0.071884714,-0.29231879
1110000000,-0.074239463,-0.28552929
1111000000,-0.078236088,-0.27868798
1112000000,-0.080409892,-0.27197021
1113000000,-0.082739055,-0.26203951
1114000000,-0.084391825,-0.25340581
1115000000,-0.084038861,-0.24578583
1116000000,-0.085773118,-0.23893227
1117000000,-0.086940639,-0.23245244
1118000000,-0.089287318,-0.22464088
1119000000,-0.091656543,-0.2161496
1120000000,-0.093809597,-0.20637673
1121000000,-0.095560469,-0.19648777
1122000000,-0.096012339,-0.18560544
1123000000,-0.095068932,-0.17567287
1124000000,-0.093686745,-0.1643811
1125000000,-0.090731233,-0.15473108
1126000000,-0.087709963,-0.14618783
1127000000,-0.084263623,-0.13810448
1128000000,-0.080708101,-0.1294031
1129000000,-0.076640479,-0.12221896
1130000000,-0.072889812,-0.11674615
1131000000,-0.069650821,-0.11088508
1132000000,-0.067164548,-0.10529702
1133000000,-0.063879378,-0.10015241
1134000000,-0.063209035,-0.095632076
1135000000,-0.061621495,-0.090693921
1136000000,-0.062452562,-0.085896745
1137000000,-0.062152516,-0.080675557
1138000000,-0.062482309,-0.073889747
1139000000,-0.062816009,-0.066512696
1140000000,-0.060023256,-0.057742525
1141000000,-0.058290794,-0.050847415
1142000000,-0.055719707,-0.042904843
1143000000,-0.053977612,-0.035886552
1144000000,-0.050729144,-0.028916107
1145000000,-0.048726898,-0.022508321
1146000000,-0.045956656,-0.014994971
1147000000,-0.043231074,-0.0066449447
1148000000,-0.036831442,0.00031494815
1149000000,-0.032643724,0.005372975
1150000000,-0.028197765,0.011669539
1151000000,-0.023836812,0.015601162
1152000000,-0.019347006,0.018787708
1153000000,-0.014857036,0.021193463
1154000000,-0.013360394,0.02509517
1155000000,-0.011674255,0.027096046
1156000000,-0.011227256,0.03104124
1157000000,-0.011195214,0.036154564
1158000000,-0.011512269,0.041845001
1159000000,-0.010772634,0.049773622
1160000000,-0.0085018678,0.05641875
1161000000,-0.0060038492,0.063522361
1162000000,-0.0023782635,0.071943268
1163000000,0.0027764223,0.077878371
1164000000,0.0070108301,0.082554288
1165000000,0.0092084017,0.088344745
1166000000,0.014274158,0.091749415
1167000000,0.015854064,0.095694423
1168000000,0.017280938,0.1003812
1169000000,0.020338081,0.1084124
1170000000,0.023363989,0.11367927
1171000000,0.026969738,0.12002262
1172000000,0.030909743,0.12479528
1173000000,0.035503633,0.13076101
1174000000,0.03881089,0.13441393
1175000000,0.041756343,0.13856477
1176000000,0.044855546,0.14273678
1177000000,0.046116542,0.14764714
1178000000,0.049232177,0.15199168
1179000000,0.050543953,0.15775678
1180000000,0.052156735,0.1646367
1181000000,0.054726757,0.17281353
1182000000,0.059233319,0.17998031
1183000000,0.064829998,0.18704179
1184000000,0.069737233,0.19287731
1185000000,0.075305186,0.19794376
1186000000,0.080232933,0.20238441
1187000000,0.084688216,0.20742816
1188000000,0.089128256,0.21352254
1189000000,0.094640657,0.21739995
1190000000,0.099585608,0.22414948
1191000000,0.1056904,0.22903793
1192000000,0.11121984,0.23530944
1193000000,0.1179826,0.23959701
1194000000,0.12508534,0.24314046
1195000000,0.13182706,0.24607171
1196000000,0.13742727,0.24931335
1197000000,0.14536546,0.25222465
1198000000,0.15033394,0.25373942
1199000000,0.15695313,0.25518787
1200000000,0.16062656,0.25422296
1201000000,0.16544019,0.25632438
1202000000,0.16621995,0.25702712
1203000000,0.17010681,0.26057023
1204000000,0.17314744,0.26403698
1205000000,0.17886169,0.26864097
1206000000,0.18256123,0.2718235
1207000000,0.18790619,0.27626207
1208000000,0.19474944,0.27880991
1209000000,0.19955844,0.28110987
1210000000,0.20394729,0.28283843
1211000000,0.20881554,0.28375512
1212000000,0.21207763,0.28722328
1213000000,0.21494108,0.29090068
1214000000,0.21940297,0.29297939
1215000000,0.22473231,0.29794639
1216000000,0.2307889,0.30084798
1217000000,0.23672962,0.3044062
1218000000,0.24126296,0.30731124
1219000000,0.24868886,0.31011197
1220000000,0.25378451,0.31125936
1221000000,0.25959167,0.31404877
1222000000,0.26463199,0.31537336
1223000000,0.2715548,0.31731576
1224000000,0.27616575,0.31882998
1225000000,0.28149042,0.32010567
1226000000,0.28737241,0.32109454
1227000000,0.29259235,0.32295409
1228000000,0.29955763,0.32536489
1229000000,0.30592313,0.32532179
1230000000,0.31048161,0.32640958
1231000000,0.31614912,0.32628706
1232000000,0.32059196,0.32530773
1233000000,0.32397935,0.32602146
1234000000,0.32932207,0.32813993
1235000000,0.33338666,0.32809883
1236000000,0.33846396,0.32936558
1237000000,0.3430306,0.32983312
1238000000,0.34669334,0.33181867
1239000000,0.34867638,0.33217496
1240000000,0.35535946,0.33319271
1241000000,0.35914153,0.33515626
1242000000,0.36551109,0.336115
1243000000,0.36981556,0.33785596
1244000000,0.37653485,0.33784375
1245000000,0.37929246,0.33597749
1246000000,0.38484898,0.33641249
1247000000,0.38944012,0.33467385
1248000000,0.39322853,0.33603543
1249000000,0.39657864,0.33493304
1250000000,0.39897957,0.33524221
1251000000,0.40198633,0.33784431
1252000000,0.40682119,0.33911827
1253000000,0.41009504,0.33920053
1254000000,0.41559827,0.34032241
1255000000,0.42127976,0.34071541
1256000000,0.4252694,0.34071916
1257000000,0.42973888,0.34023392
1258000000,0.43410423,0.34209919
1259000000,0.43765554,0.34314266
1260000000,0.44386536,0.34191489
1261000000,0.44990927,0.34235027
1262000000,0.45609671,0.34164581
1263000000,0.46247306,0.3412455
1264000000,0.46677279,0.33915806
1265000000,0.47198433,0.33717871
1266000000,0.47707736,0.33496201
1267000000,0.48149824,0.33259672
1268000000,0.48595297,0.32810917
1269000000,0.48821709,0.3264643
1270000000,0.49030718,0.32389808
1271000000,0.49235168,0.32156184
1272000000,0.49433342,0.32037535
1273000000,0.49606904,0.31937042
1274000000,0.49902987,0.31824818
1275000000,0.50153792,0.31752178
1276000000,0.50452864,0.31604439
1277000000,0.50740832,0.31474796
1278000000,0.50825059,0.3139869
1279000000,0.50944293,0.31223601
1280000000,0.5111348,0.31178296
1281000000,0.51244205,0.31230021
1282000000,0.51264811,0.31372511
1283000000,0.51627541,0.31433195
1284000000,0.51864338,0.31739333
1285000000,0.52205956,0.3153246
1286000000,0.52462894,0.31696472
1287000000,0.52830833,0.31657976
1288000000,0.53036636,0.31652579
1289000000,0.53455025,0.31841129
1290000000,0.53903419,0.31723213
1291000000,0.54311311,0.31826189
1292000000,0.54720235,0.31812173
1293000000,0.55068696,0.31631905
1294000000,0.55380064,0.31533796
1295000000,0.55734539,0.31499085
1296000000,0.56025225,0.31259781
1297000000,0.5628494,0.31231397
1298000000,0.56631559,0.31024107
1299000000,0.56959641,0.31010944
1300000000,0.5719611,0.31015375
1301000000,0.57430291,0.30823201
1302000000,0.5775553,0.30709061
1303000000,0.5796836,0.3057709
1304000000,0.58349919,0.30473956
1305000000,0.58386278,0.30406862
1306000000,0.58664149,0.30309051
1307000000,0.58979505,0.30126056
1308000000,0.59232736,0.30089086
1309000000,0.59281904,0.29915771
1310000000,0.59497255,0.29911098
1311000000,0.59820616,0.29874301
1312000000,0.60048974,0.29924232
1313000000,0.60162407,0.29694584
1314000000,0.60422194,0.29652309
1315000000,0.60816097,0.29587242
1316000000,0.60974312,0.29491213
1317000000,0.61192513,0.29421243
1318000000,0.61305791,0.29522091
1319000000,0.6174382,0.29567018
1320000000,0.62015682,0.29435989
1321000000,0.62183923,0.29448083
1322000000,0.62892318,0.29354265
1323000000,0.62986594,0.29149416
1324000000,0.6344409,0.2933152
1325000000,0.63677615,0.28950283
1326000000,0.64028347,0.28863564
1327000000,0.64376718,0.28647596
1328000000,0.64726472,0.28525636
1329000000,0.6482572,0.28241155
1330000000,0.65363336,0.28271008
1331000000,0.65493071,0.28162947
1332000000,0.65943986,0.27967867
1333000000,0.66139221,0.27911389
1334000000,0.66686797,0.27522576
1335000000,0.66723603,0.27298439
1336000000,0.67105573,0.27188739
1337000000,0.67365938,0.26929039
1338000000,0.67878789,0.26641318
1339000000,0.67818862,0.26434135
1340000000,0.68254113,0.2605913
1341000000,0.68189913,0.26007205
1342000000,0.68517631,0.25643677
1343000000,0.68715382,0.25694484
1344000000,0.69064206,0.25450331
1345000000,0.69111478,0.25080332
1346000000,0.69435149,0.24946283
1347000000,0.69592774,0.24720375
1348000000,0.69949639,0.24338527
1349000000,0.70134431,0.24006471
1350000000,0.70252168,0.23609018
1351000000,0.70132095,0.23111956
1352000000,0.7024014,0.23023054
1353000000,0.70371157,0.22718394
1354000000,0.70125639,0.22437868
1355000000,0.70380306,0.22415811
1356000000,0.70260048,0.22327229
1357000000,0.70353842,0.22089076
1358000000,0.70321178,0.21956231
1359000000,0.70549077,0.21892036
1360000000,0.70724392,0.2190447
1361000000,0.70673245,0.21703023
1362000000,0.70601529,0.21510482
1363000000,0.70866126,0.21460253
1364000000,0.70768368,0.21272187
1365000000,0.7093944,0.21272913
1366000000,0.70892113,0.21148771
1367000000,0.71095616,0.21165194
1368000000,0.71299928,0.21126914
1369000000,0.71337581,0.21025532
1370000000,0.71514016,0.20935541
1371000000,0.71668035,0.20826849
1372000000,0.71875888,0.20732979
1373000000,0.72059143,0.20561427
1374000000,0.72116512,0.20477717
1375000000,0.72439259,0.2018535
1376000000,0.72592962,0.2006239
1377000000,0.72645324,0.19917619
1378000000,0.72643542,0.19728391
1379000000,0.72943079,0.19480845
1380000000,0.72739458,0.19325036
1381000000,0.73023927,0.19137722
1382000000,0.72858715,0.19078416
1383000000,0.73262215,0.18905249
1384000000,0.73203886,0.18741335
1385000000,0.73365158,0.18516554
1386000000,0.73423326,0.18308219
1387000000,0.73440737,0.1824894
1388000000,0.73418611,0.17976773
1389000000,0.7334367,0.17898443
1390000000,0.73426872,0.17784554
1391000000,0.73701483,0.1784794
1392000000,0.73621225,0.17796932
1393000000,0.737849,0.17774095
1394000000,0.73752159,0.17576674
1395000000,0.74142748,0.17445946
1396000000,0.74177492,0.17384093
1397000000,0.74441612,0.17255758
1398000000,0.74517339,0.16982535
1399000000,0.74447107,0.16950533
1400000000,0.74542546,0.16742949
1401000000,0.7454778,0.16704106
1402000000,0.74497074,0.16489068
1403000000,0.74710983,0.16517088
1404000000,0.74657625,0.16434433
1405000000,0.74740577,0.16111179
1406000000,0.74857199,0.16144377
1407000000,0.74974322,0.15986428
1408000000,0.75030398,0.15751058
1409000000,0.75042272,0.15822414
1410000000,0.75107378,0.1576373
1411000000,0.75253135,0.15704912
1412000000,0.75283736,0.15722869
1413000000,0.75435364,0.15347767
1414000000,0.75481725,0.1539121
1415000000,0.75622118,0.15238875
1416000000,0.75773722,0.14921834
1417000000,0.7568624,0.14843261
1418000000,0.75836378,0.14748767
1419000000,0.75736654,0.14604625
1420000000,0.75812101,0.14479789
1421000000,0.75970137,0.14512257
