"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []"
1,0.332013236383228,-0.927001557255905
1.001,0.330874344837964,-0.927392185075189
1.002,0.329734988814262,-0.927781414254362
1.003,0.328595170022337,-0.928169244232522
1.004,0.327454890148365,-0.92855567445988
1.005,0.326314150904511,-0.928940704379326
1.006,0.325172953968502,-0.929324333448601
1.007,0.324031301054841,-0.929706561114218
1.008,0.32288919386022,-0.930087386831317
1.009,0.321746634083967,-0.930466810056514
1.01,0.320603623420295,-0.930844830250265
1.011,0.319460163581412,-0.9312214468689
1.012,0.318316256265624,-0.931596659375886
1.013,0.317171903177776,-0.931970467234706
1.014,0.316027106015505,-0.932342869913485
1.015,0.314881866488477,-0.932713866878359
1.016,0.31373618630319,-0.933083457598749
1.017,0.312590067161326,-0.933451641548104
1.018,0.311443510774752,-0.933818418198432
1.019,0.310296518840593,-0.934183787029032
1.02,0.309149093078128,-0.934547747513945
1.021,0.308001235190018,-0.934910299134954
1.022,0.306852946881631,-0.9352714413752
1.023,0.305704229871096,-0.935631173715709
1.024,0.304555085863652,-0.93598949564405
1.025,0.303405516573281,-0.936346406647019
1.026,0.302255523708273,-0.936701906215721
1.027,0.301105108981916,-0.937055993841579
1.028,0.299954274108203,-0.937408669017982
1.029,0.298803020800088,-0.937759931241071
1.03,0.297651350775094,-0.938109780007535
1.031,0.29649926574383,-0.938458214818561
1.032,0.295346767420577,-0.938805235176318
1.033,0.294193857530884,-0.939150840581606
1.034,0.293040537778603,-0.939495030544451
1.035,0.291886809889282,-0.939837804569886
1.036,0.290732675578609,-0.940179162168574
1.037,0.289578136570357,-0.940519102850596
1.038,0.288423194576298,-0.940857626132257
1.039,0.287267851317779,-0.941194731528727
1.04,0.286112108520187,-0.941530418556417
1.041,0.284955967904587,-0.941864686735141
1.042,0.283799431188643,-0.942197535587966
1.043,0.282642500095259,-0.942528964638547
1.044,0.281485176344828,-0.942858973413492
1.045,0.280327461668912,-0.943187561438228
1.046,0.279169357787391,-0.943514728243971
1.047,0.278010866423025,-0.943840473363117
1.048,0.276851989308335,-0.944164796327378
1.049,0.275692728161293,-0.944487696675073
1.05,0.274533084711592,-0.944809173943226
1.051,0.273373060690798,-0.945129227670383
1.052,0.272212657820112,-0.945447857400456
1.053,0.271051877832966,-0.945765062675856
1.054,0.269890722456263,-0.946080843043189
1.055,0.268729193413713,-0.946395198052144
1.056,0.267567292448215,-0.946708127248944
1.057,0.266405021281113,-0.947019630188357
1.058,0.265242381647474,-0.947329706423306
1.059,0.264079375283732,-0.947638355508573
1.06,0.262916003910373,-0.947945577005637
1.061,0.261752269270395,-0.948251370471764
1.062,0.260588173093048,-0.948555735470375
1.063,0.259423717117556,-0.948858671564135
1.064,0.258258903075165,-0.949160178320143
1.065,0.257093732696671,-0.949460255307954
1.066,0.255928207727016,-0.949758902095256
1.067,0.254762329901871,-0.950056118254454
1.068,0.253596100955522,-0.95035190336068
1.069,0.252429522624545,-0.950646256990428
1.07,0.251262596642416,-0.950939178723405
1.071,0.250095324759658,-0.951230668136736
1.072,0.248927708706728,-0.951520724815094
1.073,0.24775975022947,-0.951809348341429
1.074,0.2465914510621,-0.952096538303745
1.075,0.245422812951006,-0.952382294289152
1.076,0.24425383763729,-0.95266661588825
1.077,0.243084526859811,-0.952949502694454
1.078,0.241914882365329,-0.953230954301208
1.079,0.240744905893029,-0.95351097030621
1.08,0.239574599188809,-0.953789550307565
1.081,0.23840396399624,-0.954066693906151
1.082,0.237233002061727,-0.954342400704262
1.083,0.236061715124785,-0.954616670308209
1.084,0.234890104940598,-0.95488950232235
1.085,0.233718173250097,-0.955160896357005
1.086,0.232545921799027,-0.955430852023344
1.087,0.231373352336211,-0.955699368934001
1.088,0.230200466611713,-0.955966446703344
1.089,0.229027266370466,-0.95623208494942
1.09,0.227853753362259,-0.956496283291006
1.091,0.226679929338607,-0.956759041348835
1.092,0.225505796048711,-0.957020358746252
1.093,0.224331355242517,-0.957280235108594
1.094,0.223156608673592,-0.957538670062561
1.095,0.221981558088809,-0.957795663238676
1.096,0.220806205242276,-0.958051214267783
1.097,0.21963055188835,-0.958305322782867
1.098,0.218454599776361,-0.958557988420345
1.099,0.217278350663142,-0.958809210816948
1.1,0.216101806298121,-0.959058989613413
1.101,0.214924968446715,-0.959307324448764
1.102,0.213747838849531,-0.959554214970197
1.103,0.212570419271802,-0.959799660821176
1.104,0.21139271146621,-0.960043661650267
1.105,0.210214717189551,-0.960286217107378
1.106,0.209036438199099,-0.960527326844271
1.107,0.207857876249808,-0.96076699051565
1.108,0.206679033103528,-0.961005207776646
1.109,0.205499910518009,-0.961241978285497
1.11,0.204320510246288,-0.961477301703874
1.111,0.203140834056403,-0.961711177691946
1.112,0.201960883700689,-0.961943605915732
1.113,0.200780660944033,-0.9621745860407
1.114,0.199600167544167,-0.962404117735841
1.115,0.198419405265048,-0.962632200671237
1.116,0.197238375867077,-0.962858834519658
1.117,0.196057081107665,-0.963084018956857
1.118,0.194875522758639,-0.963307753657532
1.119,0.193693702575451,-0.963530038302147
1.12,0.192511622328945,-0.963750872570017
1.121,0.191329283772299,-0.963970256146418
1.122,0.190146688674109,-0.964188188715369
1.123,0.188963838807792,-0.964404669962267
1.124,0.18778073592285,-0.964619699579636
1.125,0.186597381799688,-0.964833277255558
1.126,0.185413778195562,-0.96504540268527
1.127,0.184229926881486,-0.965256075563218
1.128,0.183045829621699,-0.96546529558754
1.129,0.181861488183302,-0.965673062457792
1.13,0.180676904333958,-0.965879375875659
1.131,0.179492079845375,-0.966084235544207
1.132,0.178307016481512,-0.966287641170269
1.133,0.177121716012616,-0.966489592461379
1.134,0.175936180209349,-0.966690089127358
1.135,0.174750410845478,-0.966889130879509
1.136,0.173564409684257,-0.967086717433386
1.137,0.172378178497373,-0.967282848505033
1.138,0.17119171905694,-0.967477523812561
1.139,0.170005033139641,-0.96767074307539
1.14,0.168818122509762,-0.967862506017501
1.141,0.167630988944856,-0.968052812362502
1.142,0.166443634213606,-0.96824166183786
1.143,0.165256060091848,-0.968429054171771
1.144,0.164068268350436,-0.968614989095647
1.145,0.162880260770311,-0.968799466341149
1.146,0.1616920391175,-0.968982485644778
1.147,0.160503605170239,-0.969164046743115
