Freq(GHz),S11 Log Mag(dB)
1.798,-0.58453363
1.799,-0.57983923
1.8,-0.60706478
1.801,-0.56558281
1.802,-0.52766258
1.803,-0.54950237
1.804,-0.60101205
1.805,-0.59288144
1.806,-0.60320711
1.807,-0.60464227
1.808,-0.6439237
1.809,-0.62074679
1.81,-0.59370947
1.811,-0.61390376
1.812,-0.57758611
1.813,-0.57052517
1.814,-0.6228947
1.815,-0.62026232
1.816,-0.60439408
1.817,-0.60681766
1.818,-0.63726491
1.819,-0.63551205
1.82,-0.62353706
1.821,-0.63266438
1.822,-0.64801407
1.823,-0.56816506
1.824,-0.63335186
1.825,-0.64787012
1.826,-0.62000817
1.827,-0.632384
1.828,-0.63002503
1.829,-0.64196569
1.83,-0.67658395
1.831,-0.66356581
1.832,-0.65385449
1.833,-0.63882494
1.834,-0.66242689
1.835,-0.69106293
1.836,-0.68132252
1.837,-0.67434132
1.838,-0.72626865
1.839,-0.69436479
1.84,-0.69965023
1.841,-0.71430165
1.842,-0.71831864
1.843,-0.74491674
1.844,-0.72299379
1.845,-0.7475211
1.846,-0.78805888
1.847,-0.77412701
1.848,-0.79977524
1.849,-0.81378829
1.85,-0.78630507
1.851,-0.83894497
1.852,-0.83095896
1.853,-0.83845079
1.854,-0.84006983
1.855,-0.85545218
1.856,-0.8720116
1.857,-0.91425884
1.858,-0.9168911
1.859,-0.91666645
1.86,-0.90643501
1.861,-0.96295917
1.862,-0.99444467
1.863,-1.0189017
1.864,-1.0016975
1.865,-1.0466225
1.866,-1.0325272
1.867,-1.0999516
1.868,-1.1011827
1.869,-1.1421469
1.87,-1.1041502
1.871,-1.143488
1.872,-1.17786
1.873,-1.1437436
1.874,-1.172276
1.875,-1.1965595
1.876,-1.2234011
1.877,-1.2507441
1.878,-1.2746972
1.879,-1.2687734
1.88,-1.2677078
1.881,-1.3339682
1.882,-1.3325527
1.883,-1.3250837
1.884,-1.4039394
1.885,-1.3548249
1.886,-1.3942555
1.887,-1.4465888
1.888,-1.421375
1.889,-1.4574221
1.89,-1.442911
1.891,-1.4818856
1.892,-1.5436246
1.893,-1.5478467
1.894,-1.5547042
1.895,-1.5543507
1.896,-1.6093317
1.897,-1.6335317
1.898,-1.6598482
1.899,-1.6869558
1.9,-1.702661
1.901,-1.7393708
1.902,-1.6656917
1.903,-1.7357668
1.904,-1.811638
1.905,-1.8288112
1.906,-1.8429718
1.907,-1.9124103
1.908,-1.9179831
1.909,-1.9264179
1.91,-1.9028207
1.911,-1.9577572
1.912,-2.0054073
1.913,-2.0217123
1.914,-2.1115317
1.915,-2.0517628
1.916,-2.0928152
1.917,-2.1175494
1.918,-2.1404874
1.919,-2.1691093
1.92,-2.1639843
1.921,-2.2074659
1.922,-2.237272
1.923,-2.2740149
1.924,-2.3070493
1.925,-2.2728329
1.926,-2.299531
1.927,-2.3755939
1.928,-2.3996627
1.929,-2.4078605
1.93,-2.4478471
1.931,-2.4811959
1.932,-2.5152328
1.933,-2.509073
1.934,-2.4999416
1.935,-2.5252442
1.936,-2.5324111
1.937,-2.5618603
1.938,-2.5405395
1.939,-2.5774682
1.94,-2.5905368
1.941,-2.5997095
1.942,-2.6670008
1.943,-2.6481981
1.944,-2.6044209
1.945,-2.6594498
1.946,-2.5957224
1.947,-2.6537418
1.948,-2.662555
1.949,-2.6311021
1.95,-2.6798351
1.951,-2.6400058
1.952,-2.6726801
1.953,-2.6680448
1.954,-2.6638544
1.955,-2.6555696
1.956,-2.6607296
1.957,-2.6627393
1.958,-2.6936922
1.959,-2.6988599
1.96,-2.6935911
1.961,-2.6832101
1.962,-2.6863999
1.963,-2.6501093
1.964,-2.6894712
1.965,-2.6514444
1.966,-2.6576881
1.967,-2.6874642
1.968,-2.66486
1.969,-2.6763813
1.97,-2.6446013
1.971,-2.6620939
1.972,-2.657629
1.973,-2.5990574
1.974,-2.5614135
1.975,-2.5337279
1.976,-2.5565405
1.977,-2.53072
1.978,-2.510422
1.979,-2.5230896
1.98,-2.5060899
1.981,-2.5123031
1.982,-2.5109921
1.983,-2.4789164
1.984,-2.4970028
1.985,-2.459357
1.986,-2.4144626
1.987,-2.4088356
1.988,-2.4248805
1.989,-2.3582406
1.99,-2.4031396
1.991,-2.3231962
1.992,-2.3694458
1.993,-2.3108447
1.994,-2.3290875
1.995,-2.2956331
1.996,-2.3004506
1.997,-2.3003144
1.998,-2.3120594
1.999,-2.2472396
2.0,-2.3082547
2.001,-2.2720115
2.002,-2.254879
2.003,-2.3098786
2.004,-2.2841258
2.005,-2.2862661
2.006,-2.2595947
2.007,-2.2981625
2.008,-2.2676008
2.009,-2.2756557
2.01,-2.2874651
2.011,-2.333921
2.012,-2.3293085
2.013,-2.3562565
2.014,-2.3392529
2.015,-2.297699
2.016,-2.3335598
2.017,-2.3234863
2.018,-2.3287444
2.019,-2.3649607
2.02,-2.3325491
2.021,-2.4008951
2.022,-2.4042196
2.023,-2.3981311
2.024,-2.3920441
2.025,-2.4268851
2.026,-2.4336448
2.027,-2.4382541
2.028,-2.4353323
2.029,-2.4456306
2.03,-2.4666011
2.031,-2.4373071
2.032,-2.4534707
2.033,-2.4779875
2.034,-2.4546728
2.035,-2.5208006
2.036,-2.4957981
2.037,-2.5406811
2.038,-2.5094707
2.039,-2.5005255
2.04,-2.5731318
2.041,-2.5723538
2.042,-2.6109791
2.043,-2.6530051
2.044,-2.6153741
2.045,-2.6576724
2.046,-2.6868837
2.047,-2.6921828
2.048,-2.6767533
2.049,-2.6995847
2.05,-2.7217066
2.051,-2.726728
2.052,-2.7818837
2.053,-2.7388942
2.054,-2.7620382
2.055,-2.7759159
2.056,-2.7968776
2.057,-2.7560925
2.058,-2.7377746
2.059,-2.7705491
2.06,-2.7970772
2.061,-2.7995346
2.062,-2.8115697
2.063,-2.8319674
2.064,-2.8049176
2.065,-2.8251894
2.066,-2.8376338
2.067,-2.7846549
2.068,-2.8192954
2.069,-2.8412681
2.07,-2.8414853
2.071,-2.8323755
2.072,-2.7811787
2.073,-2.8028855
2.074,-2.7980309
2.075,-2.7849369
2.076,-2.7681801
2.077,-2.7589412
2.078,-2.7941706
2.079,-2.7527275
2.08,-2.7549646
2.081,-2.7024326
2.082,-2.7172673
2.083,-2.7241247
2.084,-2.6684167
2.085,-2.6418037
2.086,-2.6468673
2.087,-2.6256537
2.088,-2.6714408
2.089,-2.6306591
2.09,-2.5579064
2.091,-2.5146358
2.092,-2.5342774
2.093,-2.4729059
2.094,-2.5017045
2.095,-2.4554317
2.096,-2.4331684
2.097,-2.400274
2.098,-2.4041386
