!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
1764000000,-0.57727808
1765000000,-0.59231138
1766000000,-0.55987781
1767000000,-0.56829274
1768000000,-0.60643363
1769000000,-0.56757921
1770000000,-0.62268025
1771000000,-0.58095109
1772000000,-0.63132912
1773000000,-0.55152023
1774000000,-0.62760878
1775000000,-0.67226326
1776000000,-0.64593989
1777000000,-0.67628497
1778000000,-0.68954134
1779000000,-0.63868237
1780000000,-0.64708781
1781000000,-0.65887892
1782000000,-0.64455187
1783000000,-0.6371749
1784000000,-0.61745495
1785000000,-0.6412161
1786000000,-0.65428704
1787000000,-0.66737819
1788000000,-0.64125371
1789000000,-0.62305737
1790000000,-0.61187452
1791000000,-0.63291138
1792000000,-0.61465669
1793000000,-0.57035238
1794000000,-0.57378912
1795000000,-0.59523302
1796000000,-0.56222045
1797000000,-0.61406392
1798000000,-0.58453363
1799000000,-0.57983923
1800000000,-0.60706478
1801000000,-0.56558281
1802000000,-0.52766258
1803000000,-0.54950237
1804000000,-0.60101205
1805000000,-0.59288144
1806000000,-0.60320711
1807000000,-0.60464227
1808000000,-0.6439237
1809000000,-0.62074679
1810000000,-0.59370947
1811000000,-0.61390376
1812000000,-0.57758611
1813000000,-0.57052517
1814000000,-0.6228947
1815000000,-0.62026232
1816000000,-0.60439408
1817000000,-0.60681766
1818000000,-0.63726491
1819000000,-0.63551205
1820000000,-0.62353706
1821000000,-0.63266438
1822000000,-0.64801407
1823000000,-0.56816506
1824000000,-0.63335186
1825000000,-0.64787012
1826000000,-0.62000817
1827000000,-0.632384
1828000000,-0.63002503
1829000000,-0.64196569
1830000000,-0.67658395
1831000000,-0.66356581
1832000000,-0.65385449
1833000000,-0.63882494
1834000000,-0.66242689
1835000000,-0.69106293
1836000000,-0.68132252
1837000000,-0.67434132
1838000000,-0.72626865
1839000000,-0.69436479
1840000000,-0.69965023
1841000000,-0.71430165
1842000000,-0.71831864
1843000000,-0.74491674
1844000000,-0.72299379
1845000000,-0.7475211
1846000000,-0.78805888
1847000000,-0.77412701
1848000000,-0.79977524
