"Freq [GHz]","dB(S(1,1)) []"
2.147,-2.48934483520279
2.148,-2.48893570930434
2.149,-2.48852168064315
2.15,-2.48810283660313
2.151,-2.48767926505605
2.152,-2.48725105435283
2.153,-2.48681829331501
2.154,-2.48638107122589
2.155,-2.48593947782177
2.156,-2.4854936032831
2.157,-2.48504353822547
2.158,-2.48458937369067
2.159,-2.48413120113764
2.16,-2.48366911243333
2.161,-2.48320319984345
2.162,-2.48273355602334
2.163,-2.48226027400868
2.164,-2.481783447206
2.165,-2.4813031693835
2.166,-2.48081953466135
2.167,-2.48033263750242
2.168,-2.47984257270255
2.169,-2.47934943538105
2.17,-2.47885332097104
2.171,-2.4783543252097
2.172,-2.47785254412862
2.173,-2.47734807404397
2.174,-2.4768410115467
2.175,-2.47633145349267
2.176,-2.47581949699279
2.177,-2.47530523940307
2.178,-2.47478877831459
2.179,-2.47427021154367
2.18,-2.47374963712169
2.181,-2.47322715328506
2.182,-2.47270285846521
2.183,-2.4721768512784
2.184,-2.47164923051562
2.185,-2.47112009513239
2.186,-2.47058954423866
2.187,-2.47005767708851
2.188,-2.46952459306998
2.189,-2.46899039169485
2.19,-2.46845517258832
2.191,-2.46791903547882
2.192,-2.46738208018772
2.193,-2.4668444066189
2.194,-2.46630611474872
2.195,-2.46576730461545
2.196,-2.46522807630914
2.197,-2.46468852996117
2.198,-2.46414876573408
2.199,-2.46360888381111
2.2,-2.46306898438597
2.201,-2.46252916765254
2.202,-2.46198953379445
2.203,-2.46145018297495
2.204,-2.46091121532644
2.205,-2.46037273094031
2.206,-2.45983482985664
2.207,-2.45929761205389
2.208,-2.45876117743872
2.209,-2.45822562583572
2.21,-2.45769105697723
2.211,-2.45715757049309
2.212,-2.45662526590059
2.213,-2.45609424259416
2.214,-2.45556459983544
2.215,-2.45503643674298
2.216,-2.45450985228232
2.217,-2.45398494525592
2.218,-2.45346181429315
2.219,-2.45294055784026
2.22,-2.45242127415055
2.221,-2.45190406127437
2.222,-2.45138901704934
2.223,-2.45087623909044
2.224,-2.45036582478028
2.225,-2.4498578712594
2.226,-2.44935247541643
2.227,-2.44884973387859
2.228,-2.44834974300205
2.229,-2.44785259886231
2.23,-2.44735839724475
2.231,-2.44686723363519
2.232,-2.44637920321044
2.233,-2.44589440082902
2.234,-2.44541292102184
2.235,-2.44493485798294
2.236,-2.44446030556038
2.237,-2.44398935724711
2.238,-2.4435221061719
2.239,-2.44305864509039
2.24,-2.44259906637615
2.241,-2.44214346201188
2.242,-2.44169192358052
2.243,-2.44124454225667
2.244,-2.44080140879785
2.245,-2.44036261353596
2.246,-2.43992824636881
2.247,-2.43949839675165
2.248,-2.43907315368887
2.249,-2.43865260572571
2.25,-2.43823684094001
2.251,-2.43782594693425
2.252,-2.4374200108274
2.253,-2.43701911924692
2.254,-2.43662335832107
2.255,-2.43623281367102
2.256,-2.43584757040314
2.257,-2.43546771310143
2.258,-2.43509332582
2.259,-2.43472449207564
2.26,-2.43436129484045
2.261,-2.43400381653461
2.262,-2.43365213901922
2.263,-2.43330634358928
2.264,-2.43296651096656
2.265,-2.43263272129294
2.266,-2.43230505412349
2.267,-2.43198358841979
2.268,-2.43166840254338
2.269,-2.43135957424929
2.27,-2.43105718067958
2.271,-2.43076129835711
2.272,-2.43047200317933
2.273,-2.43018937041217
2.274,-2.42991347468412
2.275,-2.42964438998028
2.276,-2.42938218963657
2.277,-2.42912694633415
2.278,-2.42887873209375
2.279,-2.42863761827029
2.28,-2.42840367554741
2.281,-2.42817697393236
2.282,-2.42795758275073
2.283,-2.42774557064151
2.284,-2.42754100555207
2.285,-2.42734395473347
2.286,-2.4271544847356
2.287,-2.42697266140267
2.288,-2.42679854986875
2.289,-2.42663221455328
2.29,-2.4264737191569
2.291,-2.42632312665725
2.292,-2.42618049930497
2.293,-2.42604589861968
2.294,-2.42591938538621
2.295,-2.42580101965093
2.296,-2.42569086071811
2.297,-2.42558896714637
2.298,-2.42549539674546
2.299,-2.42541020657287
2.3,-2.42533345293075
2.301,-2.42526519136287
2.302,-2.42520547665165
2.303,-2.42515436281545
2.304,-2.4251119031058
2.305,-2.42507815000484
2.306,-2.42505315522285
2.307,-2.42503696969594
2.308,-2.42502964358376
2.309,-2.42503122626737
2.31,-2.42504176634731
2.311,-2.42506131164154
2.312,-2.42508990918388
2.313,-2.42512760522206
2.314,-2.42517444521644
2.315,-2.42523047383834
2.316,-2.42529573496883
2.317,-2.4253702716974
2.318,-2.42545412632094
2.319,-2.4255473403427
2.32,-2.42564995447139
2.321,-2.42576200862037
2.322,-2.42588354190706
2.323,-2.42601459265225
2.324,-2.42615519837976
2.325,-2.42630539581606
2.326,-2.42646522088996
2.327,-2.42663470873262
2.328,-2.42681389367738
2.329,-2.42700280925995
2.33,-2.42720148821853
2.331,-2.42740996249417
2.332,-2.42762826323113
2.333,-2.42785642077738
2.334,-2.42809446468523
2.335,-2.42834242371205
2.336,-2.42860032582106
2.337,-2.42886819818227
2.338,-2.42914606717351
2.339,-2.42943395838148
2.34,-2.42973189660313
2.341,-2.43003990584675
2.342,-2.43035800933362
2.343,-2.43068622949937
2.344,-2.43102458799569
2.345,-2.43137310569197
2.346,-2.43173180267715
2.347,-2.43210069826162
2.348,-2.43247981097922
2.349,-2.43286915858932
2.35,-2.43326875807897
2.351,-2.43367862566527
2.352,-2.43409877679765
2.353,-2.43452922616037
2.354,-2.43496998767501
2.355,-2.43542107450319
2.356,-2.43588249904926
2.357,-2.43635427296302
2.358,-2.4368364071428
2.359,-2.43732891173826
2.36,-2.43783179615355
2.361,-2.43834506905043
2.362,-2.4388687383515
2.363,-2.43940281124352
2.364,-2.43994729418079
2.365,-2.44050219288863
2.366,-2.4410675123669
2.367,-2.4416432568937
2.368,-2.44222943002896
2.369,-2.44282603461833
2.37,-2.44343307279696
2.371,-2.44405054599342
2.372,-2.44467845493378
2.373,-2.44531679964561
2.374,-2.44596557946211
2.375,-2.44662479302638
2.376,-2.44729443829567
2.377,-2.44797451254569
2.378,-2.4486650123751
2.379,-2.44936593370992
2.38,-2.45007727180811
2.381,-2.45079902126418
2.382,-2.45153117601383
2.383,-2.45227372933871
2.384,-2.45302667387118
2.385,-2.45379000159921
2.386,-2.45456370387126
2.387,-2.45534777140123
2.388,-2.45614219427354
2.389,-2.45694696194811
2.39,-2.45776206326564
2.391,-2.45858748645263
2.392,-2.4594232191268
2.393,-2.46026924830219
2.394,-2.46112556039466
2.395,-2.4619921412272
2.396,-2.46286897603537
2.397,-2.46375604947286
2.398,-2.46465334561691
2.399,-2.46556084797399
2.4,-2.46647853948534
2.401,-2.46740640253275
2.402,-2.46834441894412
2.403,-2.46929256999933
2.404,-2.470250836436
2.405,-2.47121919845529
2.406,-2.47219763572783
2.407,-2.47318612739952
2.408,-2.47418465209764
2.409,-2.47519318793664
2.41,-2.47621171252435
2.411,-2.47724020296785
2.412,-2.47827863587966
2.413,-2.47932698738384
2.414,-2.48038523312212
2.415,-2.48145334826006
2.416,-2.48253130749329
2.417,-2.48361908505372
2.418,-2.4847166547158
2.419,-2.48582398980284
2.42,-2.48694106319328
2.421,-2.48806784732706
2.422,-2.48920431421196
2.423,-2.49035043543002
2.424,-2.49150618214391
2.425,-2.49267152510336
2.426,-2.49384643465166
2.427,-2.4950308807321
2.428,-2.49622483289444
2.429,-2.49742826030143
2.43,-2.49864113173537
2.431,-2.49986341560463
2.432,-2.50109507995018
2.433,-2.50233609245221
2.434,-2.5035864204367
2.435,-2.50484603088199
2.436,-2.50611489042549
2.437,-2.50739296537019
2.438,-2.50868022169138
2.439,-2.50997662504327
2.44,-2.51128214076567
2.441,-2.51259673389062
2.442,-2.5139203691491
2.443,-2.51525301097775
2.444,-2.5165946235255
2.445,-2.51794517066026
2.446,-2.51930461597574
2.447,-2.52067292279802
2.448,-2.52205005419239
2.449,-2.52343597297
2.45,-2.52483064169459
2.451,-2.52623402268927
2.452,-2.52764607804316
2.453,-2.52906676961826
2.454,-2.530496059056
2.455,-2.53193390778418
2.456,-2.53338027702357
2.457,-2.53483512779466
2.458,-2.53629842092446
2.459,-2.53777011705315
2.46,-2.53925017664088
2.461,-2.54073855997449
2.462,-2.54223522717419
2.463,-2.54374013820034
2.464,-2.54525325286014
2.465,-2.54677453081432
2.466,-2.54830393158394
2.467,-2.549841414557
2.468,-2.5513869389952
2.469,-2.55294046404061
2.47,-2.55450194872237
2.471,-2.55607135196335
2.472,-2.55764863258686
2.473,-2.55923374932329
2.474,-2.56082666081679
2.475,-2.56242732563189
2.476,-2.56403570226018
2.477,-2.5656517491269
2.478,-2.56727542459763
2.479,-2.56890668698483
2.48,-2.57054549455449
2.481,-2.57219180553273
2.482,-2.57384557811232
2.483,-2.57550677045937
2.484,-2.57717534071974
2.485,-2.57885124702573
2.486,-2.58053444750254
2.487,-2.58222490027483
2.488,-2.58392256347318
2.489,-2.58562739524067
2.49,-2.58733935373932
2.491,-2.58905839715653
2.492,-2.59078448371168
2.493,-2.59251757166239
2.494,-2.59425761931109
2.495,-2.59600458501141
2.496,-2.59775842717453
2.497,-2.59951910427569
2.498,-2.60128657486043
2.499,-2.60306079755102
2.5,-2.60484173105287
2.501,-2.60662933416071
2.502,-2.60842356576505
2.503,-2.61022438485841
2.504,-2.61203175054161
2.505,-2.61384562203007
2.506,-2.61566595866002
2.507,-2.61749271989477
2.508,-2.61932586533093
2.509,-2.62116535470458
2.51,-2.62301114789752
2.511,-2.62486320494338
2.512,-2.62672148603378
2.513,-2.62858595152454
2.514,-2.63045656194167
2.515,-2.63233327798761
2.516,-2.63421606054723
2.517,-2.6361048706939
2.518,-2.63799966969557
2.519,-2.6399004190208
2.52,-2.64180708034474
2.521,-2.64371961555516
2.522,-2.64563798675842
2.523,-2.64756215628541
2.524,-2.64949208669751
2.525,-2.65142774079252
2.526,-2.65336908161052
2.527,-2.65531607243981
2.528,-2.65726867682274
2.529,-2.65922685856154
2.53,-2.66119058172424
2.531,-2.66315981065034
2.532,-2.66513450995672
2.533,-2.66711464454332
2.534,-2.669100179599
2.535,-2.6710910806071
2.536,-2.67308731335133
2.537,-2.67508884392136
2.538,-2.67709563871852
2.539,-2.67910766446142
2.54,-2.68112488819165
2.541,-2.68314727727928
2.542,-2.68517479942857
2.543,-2.68720742268347
2.544,-2.68924511543318
2.545,-2.69128784641765
2.546,-2.69333558473315
2.547,-2.69538829983772
2.548,-2.6974459615566
2.549,-2.69950854008776
2.55,-2.70157600600721
2.551,-2.7036483302745
2.552,-2.705725484238
2.553,-2.70780743964038
2.554,-2.70989416862379
2.555,-2.71198564373532
2.556,-2.71408183793215
2.557,-2.71618272458695
2.558,-2.71828827749298
2.559,-2.72039847086944
2.56,-2.72251327936655
2.561,-2.72463267807082
2.562,-2.72675664251012
2.563,-2.72888514865885
2.564,-2.73101817294302
2.565,-2.7331556922453
2.566,-2.73529768391012
2.567,-2.73744412574867
2.568,-2.73959499604386
2.569,-2.74175027355535
2.57,-2.74390993752447
2.571,-2.74607396767911
