!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:34:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1058909090.9091,0.96712768,-92.67009,145.40276,-101.82042,-280.9917
1059636363.6364,0.96458757,-87.319344,134.8968,-101.12345,-280.54843
1060363636.3636,0.95413768,-83.156891,171.19937,-99.676735,-280.47971
1061090909.0909,0.95887446,-85.867325,161.71426,-99.53492,-279.50259
1061818181.8182,0.95632148,-86.63118,176.58926,-98.724716,-278.89639
1062545454.5455,0.95080531,-86.737389,146.09283,-98.293434,-279.26825
1063272727.2727,0.95511401,-86.969711,137.25023,-97.759369,-277.85672
1064000000,0.94768745,-91.209305,124.86942,-97.184044,-278.35416
1064727272.7273,0.95322716,-88.986343,-165.43005,-97.185501,-277.42838
1065454545.4545,0.94509441,-88.656792,125.90865,-96.20639,-277.5094
1066181818.1818,0.9453873,-99.1007,148.13388,-96.035225,-277.23492
1066909090.9091,0.94185811,-92.400032,124.00597,-95.15831,-276.66641
1067636363.6364,0.94019634,-89.58213,151.80974,-94.738388,-276.3858
1068363636.3636,0.93745309,-94.330261,-115.18293,-94.360283,-276.34042
1069090909.0909,0.93260926,-86.526642,-155.88327,-93.769638,-276.36081
1069818181.8182,0.92955363,-81.856743,-176.25839,-93.090508,-275.95502
1070545454.5455,0.92635345,-87.048088,-172.12573,-92.460846,-275.63513
1071272727.2727,0.92795473,-85.477562,-168.76701,-92.073288,-274.83276
1072000000,0.92206079,-84.529877,172.7133,-91.393127,-274.88824
1072727272.7273,0.92246175,-86.788307,-153.87738,-91.024048,-274.30777
1073454545.4545,0.92188251,-93.595169,157.90303,-90.911713,-274.24921
1074181818.1818,0.91834563,-85.332565,174.74873,-90.219276,-273.87833
1074909090.9091,0.91003364,-89.376587,-113.22995,-88.972725,-273.52344
1075636363.6364,0.90955037,-85.799789,179.7218,-88.82296,-273.39191
1076363636.3636,0.90770692,-93.285576,-102.39899,-88.250412,-272.88513
1077090909.0909,0.90214652,-89.379402,179.40196,-87.594666,-272.88565
1077818181.8182,0.90006495,-90.168869,-129.86484,-87.000053,-272.37637
1078545454.5455,0.89496076,-85.63131,176.81184,-86.648628,-272.73569
1079272727.2727,0.89320272,-88.593834,168.81993,-86.059273,-272.16968
1080000000,0.89119601,-90.091606,-136.97099,-85.73172,-272.02948
1080727272.7273,0.88475752,-85.899925,162.94543,-85.098572,-272.19556
1081454545.4545,0.8843534,-87.796074,-177.25967,-84.889816,-271.95255
1082181818.1818,0.88238418,-87.021553,132.60132,-84.436951,-271.61185
1082909090.9091,0.87995017,-92.386162,162.96721,-84.003326,-271.37732
1083636363.6364,0.87309086,-86.343727,175.42424,-83.270851,-271.45212
1084363636.3636,0.87217587,-95.218201,-22.037697,-83.249542,-271.57898
1085090909.0909,0.86888248,-92.084747,43.242775,-82.694092,-271.29947
1085818181.8182,0.86629498,-89.496902,-95.632904,-82.092522,-270.81998
1086545454.5455,0.86551571,-87.035591,-76.445381,-82.180939,-271.09375
1087272727.2727,0.86551851,-89.316231,-96.38353,-82.059143,-270.90393
1088000000,0.86290413,-86.736542,-140.80301,-81.607285,-270.65704
1088727272.7273,0.86548179,-88.360382,-136.06514,-81.430206,-269.92953
1089454545.4545,0.86636364,-88.597137,-86.155785,-81.403534,-269.73425
