!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:35:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S22 SMITH Real(Ohm),S22 SMITH Imag(Ohm)
1000000000,1.095269,-84.281357,-56.506855,-164.88176,-319.00421
1000727272.7273,1.1024491,-90.764824,-158.8947,-164.6624,-317.51398
1001454545.4545,1.1015078,-91.658264,-48.606106,-164.20013,-317.34985
1002181818.1818,1.1066855,-86.6511,138.69511,-163.33585,-315.76813
1002909090.9091,1.1091237,-90.401619,-135.90643,-163.49832,-315.4426
1003636363.6364,1.113356,-94.312614,84.249344,-162.75804,-314.13495
1004363636.3636,1.1121053,-89.057266,-163.42082,-161.62392,-313.52844
1005090909.0909,1.1152844,-94.146454,-153.75119,-161.5544,-312.9061
1005818181.8182,1.117375,-87.639984,109.19778,-161.04883,-312.16031
1006545454.5455,1.1238767,-83.310349,113.64941,-160.91272,-310.90494
1007272727.2727,1.127895,-86.484306,95.418869,-160.38383,-309.80905
1008000000,1.1267054,-96.454216,152.39917,-159.34007,-309.25049
1008727272.7273,1.1361477,-86.574913,137.87997,-159.16742,-307.47845
1009454545.4545,1.1360115,-95.739761,162.69151,-158.2348,-306.81653
1010181818.1818,1.1386501,-84.844193,68.094429,-157.63531,-305.92001
1010909090.9091,1.1452473,-96.053246,53.776794,-157.03291,-304.34909
1011636363.6364,1.1488622,-90.692154,-140.85258,-156.63866,-303.44629
1012363636.3636,1.1484942,-89.336105,-171.96027,-155.52933,-302.68768
1013090909.0909,1.1488073,-82.936096,165.14653,-154.82658,-302.11194
1013818181.8182,1.1521795,-84.47435,139.82086,-153.93118,-300.87952
1014545454.5455,1.1545604,-88.078827,116.04691,-153.14139,-299.89243
1015272727.2727,1.1544461,-87.044586,115.6619,-152.48863,-299.41995
1016000000,1.1568853,-88.638588,136.43964,-151.37689,-298.17783
1016727272.7273,1.1570904,-92.019684,53.259228,-150.686,-297.61884
1017454545.4545,1.1588773,-93.041107,138.97929,-149.62146,-296.51422
1018181818.1818,1.1599629,-89.362114,41.413074,-148.97481,-295.84177
1018909090.9091,1.1599417,-90.96125,105.18462,-148.27873,-295.30823
1019636363.6364,1.1647472,-87.599533,109.85483,-147.00244,-293.54889
1020363636.3636,1.1672269,-99.18679,129.37053,-146.57228,-292.82028
1021090909.0909,1.1655529,-94.731621,60.23085,-145.66792,-292.37946
1021818181.8182,1.1681811,-88.41172,166.37019,-145.14531,-291.55453
1022545454.5455,1.1665865,-86.720467,134.81696,-144.30066,-291.13998
1023272727.2727,1.1672844,-85.852135,117.25017,-143.03731,-290.02744
1024000000,1.1730211,-80.146469,118.48208,-142.68454,-288.85382
1024727272.7273,1.1714317,-82.365524,117.36735,-141.61682,-288.24655
1025454545.4545,1.1710929,-80.846382,78.196068,-140.45337,-287.36093
1026181818.1818,1.1705337,-81.840019,100.90144,-139.40318,-286.59323
1026909090.9091,1.1716126,-88.634827,100.80971,-138.37688,-285.58817
1027636363.6364,1.1706012,-83.009773,116.94244,-137.00406,-284.60843
1028363636.3636,1.1630852,-88.717674,22.622141,-135.48729,-284.4798
1029090909.0909,1.1673018,-87.806915,78.992935,-134.56537,-283.06238
1029818181.8182,1.1684177,-81.425743,100.29274,-133.51407,-282.00146
1030545454.5455,1.1629943,-82.859924,47.792324,-132.4328,-281.88669
1031272727.2727,1.1586946,-97.121574,-71.719849,-131.22891,-281.48636
1032000000,1.1546447,-90.357758,94.949135,-130.43828,-281.40042
1032727272.7273,1.1489869,-90.981628,-169.79294,-128.95943,-280.93719
1033454545.4545,1.1451513,-84.717178,94.656624,-127.94861,-280.60449
1034181818.1818,1.1433302,-95.224014,102.61415,-127.45399,-280.42999
1034909090.9091,1.1345931,-80.179512,100.43662,-125.95166,-280.36835
1035636363.6364,1.1346217,-92.906898,130.07733,-125.69637,-280.12799
1036363636.3636,1.1290021,-88.057701,90.501022,-124.25581,-279.63101
1037090909.0909,1.1251034,-85.219139,93.718025,-123.70037,-279.69522
1037818181.8182,1.122689,-87.572754,62.025406,-122.54809,-278.96408
1038545454.5455,1.1165388,-86.154785,66.634766,-121.76738,-279.14224
1039272727.2727,1.1092763,-81.699532,87.985359,-120.76196,-279.26596
1040000000,1.1092973,-84.312119,90.545197,-120.51268,-279.01898
1040727272.7273,1.0992008,-89.210457,94.259705,-119.33786,-279.39606
1041454545.4545,1.0976663,-92.721321,40.795216,-118.89388,-279.1879
1042181818.1818,1.0951898,-83.018776,143.16458,-118.03667,-278.70621
1042909090.9091,1.091687,-86.907814,115.85233,-117.37536,-278.5726
1043636363.6364,1.0874963,-89.619797,57.966553,-116.8517,-278.68066
1044363636.3636,1.0850527,-88.01107,57.522797,-116.03186,-278.21432
1045090909.0909,1.0798892,-87.433235,104.70892,-115.13784,-278.08084
1045818181.8182,1.0791517,-84.361862,117.96922,-115.00969,-278.06064
1046545454.5455,1.0737822,-89.524353,65.792427,-114.42263,-278.27261
1047272727.2727,1.0743325,-85.346733,59.494396,-113.72969,-277.45901
1048000000,1.0710043,-87.18782,32.370411,-113.18777,-277.39691
1048727272.7273,1.0650263,-89.066994,70.422356,-112.19779,-277.2605
1049454545.4545,1.0635825,-83.501633,69.796997,-111.66615,-276.91089
1050181818.1818,1.0570468,-92.578911,75.843651,-110.8579,-277.04361
1050909090.9091,1.0553817,-92.91906,52.524052,-110.473,-276.88092
1051636363.6364,1.0486389,-94.003586,103.12819,-109.58685,-276.95166
1052363636.3636,1.0466955,-94.390289,32.223537,-108.93143,-276.52603
1053090909.0909,1.0468096,-87.527863,145.55389,-108.58445,-276.12143
1053818181.8182,1.0441526,-94.164154,157.72346,-107.99097,-275.86887
1054545454.5455,1.0434191,-85.090775,84.622139,-107.56669,-275.5051
1055272727.2727,1.0389813,-87.257317,138.08151,-106.88355,-275.42038
1056000000,1.0354614,-86.410538,87.632477,-106.12286,-275.09924
1056727272.7273,1.0343623,-86.910553,95.52829,-105.88088,-274.99252
1057454545.4545,1.0319479,-87.783524,99.6502,-104.90464,-274.24103
1058181818.1818,1.0321777,-85.573318,87.430359,-104.60656,-273.85947
1058909090.9091,1.0218632,-104.98842,-5.8528585,-103.43867,-274.09689
1059636363.6364,1.0223374,-91.160141,28.671003,-103.04109,-273.55301
1060363636.3636,1.0148518,-86.41552,61.497734,-101.85987,-273.31393
1061090909.0909,1.0152198,-99.649559,162.59668,-101.49341,-272.81604
1061818181.8182,1.0102036,-92.672371,88.514755,-100.85905,-272.83386
1062545454.5455,1.0098273,-87.874199,118.19671,-100.62635,-272.6102
1063272727.2727,1.0059679,-88.86544,-172.95668,-99.631027,-271.99811
1064000000,1.0030257,-93.343102,109.27007,-99.144402,-271.85959
1064727272.7273,1.0006065,-84.050636,156.61382,-98.187286,-271.05103
1065454545.4545,0.99588352,-80.123154,120.64407,-97.809196,-271.319
1066181818.1818,0.98439801,-85.311668,139.47635,-96.589256,-271.59003
1066909090.9091,0.98571289,-79.688057,93.348747,-96.253899,-270.95361
1067636363.6364,0.98242164,-86.488159,67.934944,-95.547447,-270.56799
1068363636.3636,0.97874796,-85.901123,79.760956,-94.916985,-270.3349
1069090909.0909,0.97275501,-83.89325,59.321205,-94.239426,-270.40411
1069818181.8182,0.9718079,-87.14991,93.733902,-93.740242,-269.89972
1070545454.5455,0.96904016,-87.719398,107.02153,-93.14888,-269.55966
1071272727.2727,0.96918666,-88.982811,48.999611,-92.642319,-268.86447
1072000000,0.96510255,-100.84848,88.290398,-92.00071,-268.65714
1072727272.7273,0.96038687,-90.525719,161.14963,-91.060371,-268.14136
1073454545.4545,0.94949341,-82.04615,126.38461,-90.18409,-268.69101
1074181818.1818,0.94927663,-84.530312,129.66019,-89.674576,-268.02463
1074909090.9091,0.94007874,-85.979088,128.42796,-88.675781,-268.12042
1075636363.6364,0.93115669,-84.574661,119.54137,-87.681595,-268.16968
1076363636.3636,0.92486018,-83.443901,109.51882,-86.896568,-268.07965
1077090909.0909,0.92296362,-82.830727,107.19122,-86.529396,-267.86304
1077818181.8182,0.91256595,-81.170502,96.223686,-85.601639,-268.23193
1078545454.5455,0.90633279,-88.977615,105.48295,-84.944962,-268.30408
1079272727.2727,0.90009421,-84.93042,79.066643,-84.321571,-268.42331
1080000000,0.89291441,-89.157814,74.848892,-83.497856,-268.39743
1080727272.7273,0.89642668,-84.540642,90.715828,-83.677887,-268.07651
1081454545.4545,0.89184582,-87.886032,112.80462,-83.213066,-268.14789
1082181818.1818,0.88239652,-87.272697,89.972359,-82.249298,-268.28281
1082909090.9091,0.88464558,-86.280769,119.41595,-82.294334,-267.96921
1083636363.6364,0.87658167,-83.89505,118.04653,-81.660637,-268.36935
1084363636.3636,0.87834841,-88.366653,67.165543,-81.654449,-268.0574
1085090909.0909,0.88060308,-85.352661,122.02368,-81.607994,-267.60107
1085818181.8182,0.87179965,-83.446388,108.51562,-80.833183,-267.9025
1086545454.5455,0.87211448,-84.042152,92.113998,-80.764351,-267.74072
1087272727.2727,0.86967027,-80.426788,87.008064,-80.3004,-267.43265
1088000000,0.86832422,-89.923141,96.119621,-80.153854,-267.43329
1088727272.7273,0.8679505,-83.193924,102.83325,-79.928329,-267.1416
1089454545.4545,0.86997432,-82.564781,73.843857,-79.725845,-266.47455
1090181818.1818,0.86692661,-87.342621,123.40774,-79.274391,-266.28094
1090909090.9091,0.8707099,-89.081551,98.838066,-79.451462,-265.91483
1091636363.6364,0.87411082,-85.899132,75.18618,-79.249153,-265.01654
1092363636.3636,0.8735106,-95.372787,171.55539,-78.930458,-264.61319
1093090909.0909,0.87164944,-98.16304,-5.8187017,-78.378525,-264.04947
1093818181.8182,0.86674845,-87.162117,102.40174,-77.427605,-263.35214
1094545454.5455,0.86775738,-115.8624,-116.32349,-77.316551,-263.00208
1095272727.2727,0.86881143,-87.21701,135.60098,-76.963417,-262.25327
1096000000,0.86193407,-94.062645,-169.35101,-76.122536,-262.04437
1096727272.7273,0.85782397,-84.928551,120.24022,-75.578384,-261.8461
1097454545.4545,0.86255908,-80.791115,113.79108,-75.398598,-260.74924
1098181818.1818,0.85210943,-81.049553,121.09628,-74.465721,-260.96759
1098909090.9091,0.8488676,-82.671677,67.336945,-74.22242,-261.112
1099636363.6364,0.85019732,-88.715149,58.669189,-73.915062,-260.36819
1100363636.3636,0.844482,-84.369934,47.291836,-73.171768,-260.08353
1101090909.0909,0.84246778,-84.527763,27.52516,-72.726326,-259.6673
1101818181.8182,0.83794773,-86.160194,6.6638589,-72.079193,-259.32828
1102545454.5455,0.83164632,-90.02784,118.18241,-71.258911,-258.98605
1103272727.2727,0.82999939,-96.425896,55.296314,-71.133766,-259.05106
1104000000,0.82642072,-92.916466,84.501198,-70.491135,-258.53897
1104727272.7273,0.82446945,-90.898384,154.42113,-70.273239,-258.49106
1105454545.4545,0.81831402,-85.47049,173.32147,-69.720467,-258.57645
1106181818.1818,0.81025624,-88.082047,78.018517,-68.693657,-258.13516
1106909090.9091,0.81031436,-87.713326,113.05495,-68.887886,-258.47742
1107636363.6364,0.80858868,-86.594109,73.232101,-68.408211,-257.90857
1108363636.3636,0.80360031,-89.473846,65.363022,-67.903969,-257.86398
1109090909.0909,0.80099684,-89.449669,119.61168,-67.651703,-257.85962
1109818181.8182,0.79868215,-92.919006,37.821171,-67.318832,-257.65381
1110545454.5455,0.79206842,-85.069275,63.159451,-66.640793,-257.56613
1111272727.2727,0.78982377,-95.930275,47.53743,-66.363297,-257.4458
1112000000,0.79190862,-85.015953,116.68798,-66.425545,-257.19043
1112727272.7273,0.7802968,-91.827438,132.08011,-65.274803,-257.09015
