!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1059636363.6364,0.90074587,-96.396904,94.405594,-92.100945,-279.55045
1060363636.3636,0.89670563,-86.667839,64.939644,-91.25441,-279.06903
1061090909.0909,0.89417458,-90.898781,68.823753,-90.525093,-278.47885
1061818181.8182,0.89108372,-96.116508,118.73993,-89.779144,-277.95547
1062545454.5455,0.88853586,-82.326965,86.024536,-89.436646,-277.91132
1063272727.2727,0.88928467,-87.896835,71.993111,-88.916115,-277.02707
1064000000,0.88089865,-85.875465,30.851429,-87.960663,-277.11295
1064727272.7273,0.88165861,-101.95937,53.019844,-87.807999,-276.75439
1065454545.4545,0.87804765,-96.738312,-177.93576,-87.066719,-276.29944
1066181818.1818,0.8763805,-87.856018,67.506355,-86.557388,-275.83798
1066909090.9091,0.87172943,-94.742508,98.497131,-86.065849,-275.92789
1067636363.6364,0.87179685,-88.45105,35.678699,-85.80442,-275.52344
1068363636.3636,0.86781889,-88.50621,-74.593452,-85.358147,-275.55756
1069090909.0909,0.86316973,-102.81073,38.950565,-84.655968,-275.31995
1069818181.8182,0.8644225,-108.5321,51.23872,-84.379379,-274.67422
1070545454.5455,0.85899353,-93.420677,-146.94913,-83.636536,-274.50183
1071272727.2727,0.85542274,-94.340202,-54.425816,-82.963654,-274.09814
1072000000,0.85312957,-86.676437,166.66548,-82.547264,-273.85968
1072727272.7273,0.84976929,-94.368904,130.21278,-82.070992,-273.71594
1073454545.4545,0.84918904,-85.897713,127.96439,-81.734528,-273.29001
1074181818.1818,0.84614092,-85.557274,150.19768,-81.123413,-272.86966
1074909090.9091,0.84168297,-101.83707,4.2698426,-80.359016,-272.45123
1075636363.6364,0.84150583,-104.48016,-20.110147,-80.072937,-272.02347
1076363636.3636,0.83728558,-98.303497,126.25441,-79.55751,-271.95221
1077090909.0909,0.83222687,-88.388405,3.1597457,-78.735168,-271.52789
1077818181.8182,0.82768524,-89.912392,-80.593491,-78.064262,-271.24884
1078545454.5455,0.82275265,-100.25237,-69.350426,-77.679283,-271.51044
1079272727.2727,0.82359624,-88.334259,-33.516956,-77.328148,-270.77145
1080000000,0.82023549,-87.799538,146.09552,-77.010017,-270.85336
1080727272.7273,0.81715024,-103.10978,-111.27905,-76.713356,-270.92041
1081454545.4545,0.81189293,-92.354652,91.463615,-75.863243,-270.44763
1082181818.1818,0.81088489,-95.60347,59.471161,-75.557014,-270.11093
1082909090.9091,0.80356485,-91.384163,-94.381477,-74.795166,-270.15506
1083636363.6364,0.80371952,-89.166161,43.286221,-74.520927,-269.65158
1084363636.3636,0.80038977,-91.222885,32.139229,-74.373718,-270.01443
1085090909.0909,0.79326254,-96.380302,36.889172,-73.338699,-269.53174
1085818181.8182,0.79090416,-90.573524,19.858152,-72.972282,-269.3255
1086545454.5455,0.79482967,-95.777039,-55.558891,-73.321938,-269.20914
1087272727.2727,0.78781265,-88.057907,57.520519,-72.502625,-269.07053
1088000000,0.78557134,-99.403961,-135.10536,-72.134384,-268.83337
1088727272.7273,0.78765094,-94.008102,-94.106651,-72.127068,-268.42941
1089454545.4545,0.78678536,-84.511436,-162.52061,-71.756828,-267.92728
1090181818.1818,0.78417408,-84.972839,-169.90079,-71.510193,-267.97296
1090909090.9091,0.78722191,-90.483597,137.13936,-71.444969,-267.28421
1091636363.6364,0.78604573,-92.172569,153.01984,-71.235535,-267.12598
1092363636.3636,0.78456545,-100.63676,168.91669,-70.671478,-266.37994
1093090909.0909,0.77943981,-92.862915,-165.1384,-70.046089,-266.19659
1093818181.8182,0.77693254,-96.399155,158.41483,-69.445763,-265.56104
1094545454.5455,0.78088635,-100.82697,58.379745,-69.631264,-265.16354
1095272727.2727,0.77706367,-90.934158,120.97903,-69.111771,-264.91803
1096000000,0.77287924,-94.878815,152.61949,-68.584015,-264.72003
1096727272.7273,0.7701059,-99.958351,80.568489,-68.077942,-264.29227
1097454545.4545,0.771918,-98.314194,-73.133484,-67.785957,-263.4025
1098181818.1818,0.76622546,-96.444489,-125.00974,-67.262009,-263.47934
1098909090.9091,0.76551729,-95.045792,165.77768,-66.992409,-263.09921
1099636363.6364,0.76165491,-87.786705,-139.42355,-66.468719,-262.82471
1100363636.3636,0.75910109,-85.197914,170.7733,-66.018669,-262.43958
1101090909.0909,0.75280911,-104.05732,-152.02188,-65.39756,-262.42624
1101818181.8182,0.75362384,-86.655296,163.64682,-65.147514,-261.78214
1102545454.5455,0.74528259,-87.568405,124.52244,-64.124001,-261.35165
1103272727.2727,0.73836511,-87.148987,109.37568,-63.745014,-261.92499
1104000000,0.7384488,-96.534302,-16.074608,-63.469635,-261.35522
1104727272.7273,0.73154122,-86.763885,119.28835,-62.735855,-261.207
