!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 14:24:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.35255861,-0.76459891
1001000000,0.34883976,-0.76234072
1002000000,0.34490633,-0.76121128
1003000000,0.33995533,-0.75941652
1004000000,0.33547163,-0.76077664
1005000000,0.33229977,-0.76145303
1006000000,0.32636601,-0.75918585
1007000000,0.3225646,-0.75562048
1008000000,0.31779602,-0.75325459
1009000000,0.3098712,-0.75251234
1010000000,0.30663633,-0.75155854
1011000000,0.3011187,-0.75292492
1012000000,0.29530182,-0.75164884
1013000000,0.29186288,-0.74916971
1014000000,0.28398028,-0.74639642
1015000000,0.27776384,-0.7479021
1016000000,0.27279252,-0.7430563
1017000000,0.26761281,-0.73897785
1018000000,0.25966224,-0.73771423
1019000000,0.25374383,-0.73369277
1020000000,0.25029942,-0.72876805
1021000000,0.24730785,-0.72566372
1022000000,0.24071403,-0.72255105
1023000000,0.23721883,-0.72231835
1024000000,0.23135079,-0.71913397
1025000000,0.22662796,-0.71664894
1026000000,0.2196698,-0.71235716
1027000000,0.21268569,-0.7123121
1028000000,0.20799197,-0.70663977
1029000000,0.20183803,-0.70285392
1030000000,0.19639985,-0.69965643
1031000000,0.19331153,-0.69608104
1032000000,0.18599997,-0.69292599
1033000000,0.18085065,-0.68850619
1034000000,0.1753006,-0.68397015
1035000000,0.16913982,-0.68041134
1036000000,0.16663609,-0.6752826
1037000000,0.16177236,-0.6704697
1038000000,0.15684673,-0.66662043
1039000000,0.15106541,-0.66269076
1040000000,0.14803134,-0.65932333
1041000000,0.14236219,-0.65546167
1042000000,0.13779493,-0.65247303
1043000000,0.13255283,-0.64597452
1044000000,0.12933151,-0.64185548
1045000000,0.12296266,-0.63819683
1046000000,0.11918909,-0.63242346
1047000000,0.11522631,-0.62527543
1048000000,0.10894092,-0.62015349
1049000000,0.10591165,-0.61427587
1050000000,0.1015426,-0.60851729
1051000000,0.1006539,-0.60168141
1052000000,0.097433098,-0.59635508
1053000000,0.09584602,-0.59129775
1054000000,0.095428206,-0.58657402
1055000000,0.092761844,-0.584171
1056000000,0.090084702,-0.58133918
1057000000,0.087576464,-0.57836485
1058000000,0.083189398,-0.57468808
1059000000,0.079731628,-0.57305866
1060000000,0.074710488,-0.56821638
1061000000,0.069775641,-0.56427276
1062000000,0.063833803,-0.55909359
1063000000,0.057896849,-0.55482537
1064000000,0.052902009,-0.54701805
1065000000,0.050943073,-0.54115307
1066000000,0.046184603,-0.5339886
1067000000,0.042989157,-0.52918065
1068000000,0.03948563,-0.52214468
1069000000,0.037503045,-0.51575142
1070000000,0.034268085,-0.50902271
1071000000,0.031008214,-0.50363427
1072000000,0.027836896,-0.49756494
1073000000,0.025713759,-0.49123809
1074000000,0.023391517,-0.48681101
1075000000,0.021147218,-0.47957751
1076000000,0.019423746,-0.47281501
1077000000,0.017116297,-0.46865606
1078000000,0.015429226,-0.46314162
1079000000,0.012355371,-0.4576903
1080000000,0.0096959546,-0.45409569
