1000000000.0,-4094.520962,3.897355515006626e-14
1000999999.9999999,-4090.061648,3.8972981544993515e-14
1002000000.0,-4085.610417,3.8972444389539886e-14
1002999999.9999999,-4081.167247,3.897194356964974e-14
1004000000.0,-4076.732112,3.897147900984444e-14
1004999999.9999999,-4072.304992,3.8971050606275146e-14
1006000000.0,-4067.88586,3.897065827457917e-14
1006999999.9999999,-4063.474695,3.8970301901926855e-14
1008000000.0,-4059.071474,3.896998141420777e-14
1008999999.9999999,-4054.676174,3.8969696708822366e-14
1010000000.0,-4050.28877,3.8969447683450826e-14
1010999999.9999999,-4045.909241,3.896923426499108e-14
1012000000.0,-4041.537565,3.8969056361418356e-14
1012999999.9999999,-4037.173718,3.8968913861689216e-14
1014000000.0,-4032.817677,3.896880668402002e-14
1014999999.9999999,-4028.46942,3.896873473728948e-14
1016000000.0,-4024.128926,3.896869793068356e-14
1016999999.9999999,-4019.796171,3.8968696173693885e-14
1018000000.0,-4015.471135,3.896872937611604e-14
1018999999.9999999,-4011.153792,3.896879744804804e-14
1020000000.0,-4006.844124,3.896890029988864e-14
1020999999.9999999,-4002.542108,3.896903784233579e-14
1022000000.0,-3998.24772,3.896920997663342e-14
1022999999.9999999,-3993.960941,3.896941662380534e-14
1024000000.0,-3989.681748,3.8969657695437417e-14
1024999999.9999999,-3985.41012,3.89699331034084e-14
1026000000.0,-3981.146035,3.897024275009811e-14
1026999999.9999999,-3976.889471,3.8970586557737173e-14
1028000000.0,-3972.640409,3.897096442926389e-14
1028999999.9999999,-3968.398825,3.8971376287503173e-14
1030000000.0,-3964.164701,3.897182203594561e-14
1030999999.9999999,-3959.938013,3.897230159800441e-14
1032000000.0,-3955.718741,3.8972814877716375e-14
1032999999.9999999,-3951.506866,3.8973361799077024e-14
1034000000.0,-3947.302364,3.897394225679493e-14
1034999999.9999999,-3943.105216,3.8974556185290834e-14
1036000000.0,-3938.915401,3.8975203499564123e-14
1036999999.9999999,-3934.7329,3.897588409509291e-14
1038000000.0,-3930.557691,3.897659790718128e-14
1038999999.9999999,-3926.389753,3.8977344831812886e-14
1040000000.0,-3922.229067,3.897812480487373e-14
1040999999.9999999,-3918.075613,3.897893773278494e-14
1042000000.0,-3913.92937,3.8979783522195415e-14
1042999999.9999999,-3909.790318,3.898066209989584e-14
1044000000.0,-3905.658437,3.8981573383013776e-14
1044999999.9999999,-3901.533708,3.898251728894023e-14
1046000000.0,-3897.41611,3.898349373532819e-14
1046999999.9999999,-3893.305624,3.8984502630093376e-14
1048000000.0,-3889.20223,3.8985543901386474e-14
1048999999.9999999,-3885.105909,3.898661745762019e-14
1050000000.0,-3881.01664,3.898772321745154e-14
1050999999.9999999,-3876.934406,3.89888611098311e-14
1052000000.0,-3872.859186,3.899003105395532e-14
1052999999.9999999,-3868.790961,3.899123294915585e-14
1054000000.0,-3864.729712,3.899246673520968e-14
1054999999.9999999,-3860.675419,3.8993732321987914e-14
1056000000.0,-3856.628064,3.8995029619569433e-14
1056999999.9999999,-3852.587628,3.8996358568538186e-14
1058000000.0,-3848.554091,3.899771907947652e-14
1059000000.0,-3844.527437,3.8999111063170606e-14
1060000000.0,-3840.507643,3.900053446100003e-14
1061000000.0,-3836.494694,3.900198917410614e-14
1062000000.0,-3832.488569,3.9003475124090765e-14
1063000000.0,-3828.489252,3.900499224295675e-14
1064000000.0,-3824.496722,3.900654045281499e-14
1065000000.0,-3820.510962,3.900811966583146e-14
1066000000.0,-3816.531953,3.90097298045591e-14
1067000000.0,-3812.559678,3.901137079178553e-14
1068000000.0000001,-3808.594117,3.901304256074525e-14
1069000000.0,-3804.635254,3.90147450142753e-14
1070000000.0000001,-3800.683068,3.9016478096297434e-14
1071000000.0,-3796.737545,3.901824172031269e-14
1072000000.0000001,-3792.798663,3.9020035800008817e-14
1073000000.0,-3788.866408,3.9021860269790834e-14
1074000000.0,-3784.940759,3.9023715043779294e-14
1075000000.0,-3781.0217,3.9025600067138685e-14
1076000000.0,-3777.109214,3.902751523385433e-14
1077000000.0,-3773.203282,3.902946048954816e-14
1078000000.0,-3769.303888,3.9031435749192276e-14
1079000000.0,-3765.411013,3.903344094859572e-14
1080000000.0,-3761.524641,3.9035475992809404e-14
1081000000.0,-3757.644753,3.903754082842016e-14
1082000000.0,-3753.771334,3.9039635360871754e-14
1083000000.0,-3749.904365,3.9041759537226976e-14
1084000000.0,-3746.043831,3.9043913263317945e-14
1085000000.0,-3742.189713,3.9046096465891965e-14
1086000000.0,-3738.341995,3.90483090823134e-14
1087000000.0,-3734.50066,3.9050551039786197e-14
1088000000.0,-3730.665691,3.9052822255299085e-14
1089000000.0,-3726.837071,3.905512265644382e-14
1090000000.0,-3723.014784,3.905745217102058e-14
1091000000.0,-3719.198813,3.905981072703692e-14
1092000000.0,-3715.389141,3.9062198252706695e-14
1093000000.0,-3711.585753,3.906461467644903e-14
1094000000.0,-3707.788631,3.9067059916396253e-14
1095000000.0,-3703.997759,3.906953391184414e-14
1096000000.0,-3700.213121,3.907203659182139e-14
1097000000.0,-3696.434702,3.907456787503403e-14
1098000000.0,-3692.662483,3.9077127690879164e-14
1099000000.0,-3688.89645,3.9079715968952943e-14
1100000000.0,-3685.136586,3.9082332639049567e-14
1101000000.0,-3681.382876,3.908497764172813e-14
1102000000.0,-3677.635303,3.908765088605127e-14
1103000000.0,-3673.893851,3.909035230236824e-14
1104000000.0,-3670.158505,3.909308184242438e-14
1105000000.0,-3666.42925,3.909583940518612e-14
1106000000.0,-3662.706068,3.9098624942795095e-14
