!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:24:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1052363636.3636,2.3826184,-98.762535,-133.57169,-18.266127,63.178265
1053090909.0909,2.3819351,-97.789902,5.8885274,-18.176435,62.953178
1053818181.8182,2.3849699,-87.16066,-137.97398,-18.080162,62.629295
1054545454.5455,2.3799307,-86.685631,-138.91745,-17.92017,62.305229
1055272727.2727,2.3874018,-84.064781,171.15694,-17.884335,62.047554
1056000000,2.3787093,-87.268471,-175.62857,-17.711779,61.762886
1056727272.7273,2.3799021,-85.165436,171.59981,-17.589516,61.400944
1057454545.4545,2.3732586,-87.727493,113.276,-17.459423,61.183105
1058181818.1818,2.3688815,-86.376511,-121.12926,-17.304695,60.845184
1058909090.9091,2.3636422,-82.393532,178.14146,-17.169205,60.576534
1059636363.6364,2.3631706,-96.844299,162.74719,-17.049263,60.246841
1060363636.3636,2.3613195,-84.147835,-177.87128,-16.926149,59.935474
1061090909.0909,2.3624804,-84.745888,-164.8111,-16.828791,59.631275
1061818181.8182,2.3486643,-97.838303,78.745003,-16.644163,59.394039
1062545454.5455,2.3495791,-85.590309,-172.52586,-16.540457,59.071869
1063272727.2727,2.3555911,-89.873039,171.39806,-16.49579,58.812065
1064000000,2.3454757,-83.076805,-146.28941,-16.308533,58.477177
1064727272.7273,2.3446827,-82.24324,-172.54547,-16.211712,58.206421
1065454545.4545,2.3396287,-81.824509,-156.27194,-16.058302,57.855652
1066181818.1818,2.3362501,-82.522865,152.33012,-15.953819,57.613022
1066909090.9091,2.3336213,-87.553253,148.72534,-15.844006,57.336056
1067636363.6364,2.3433251,-83.750389,159.49625,-15.816763,57.044769
1068363636.3636,2.3377874,-85.805725,-177.90428,-15.675373,56.730236
1069090909.0909,2.3238752,-83.351585,146.31526,-15.493912,56.467522
1069818181.8182,2.3328512,-86.178253,-137.48738,-15.464507,56.182968
1070545454.5455,2.3240077,-97.294807,-170.73682,-15.34836,56.009438
1071272727.2727,2.3207877,-85.032738,-167.57674,-15.213532,55.653336
1072000000,2.3213828,-81.848412,-127.04032,-15.13944,55.405205
1072727272.7273,2.3207498,-85.001717,-137.22507,-15.04785,55.126392
1073454545.4545,2.3183167,-80.728027,-173.51062,-14.943032,54.841911
1074181818.1818,2.3051507,-81.837395,-169.03506,-14.784105,54.610516
1074909090.9091,2.3024719,-84.162209,-164.42236,-14.682962,54.337616
1075636363.6364,2.2989509,-83.144127,-140.31416,-14.581561,54.079842
1076363636.3636,2.2933478,-84.272644,-176.37711,-14.450545,53.766296
1077090909.0909,2.2978821,-82.866219,165.16119,-14.408249,53.526859
1077818181.8182,2.2828965,-85.849854,169.88783,-14.222935,53.22818
1078545454.5455,2.2802978,-82.956291,-162.45267,-14.123161,52.945454
1079272727.2727,2.2790365,-87.078529,168.56589,-14.031638,52.659565
1080000000,2.2737098,-85.726036,172.58786,-13.916794,52.379524
1080727272.7273,2.2584698,-81.313202,163.11147,-13.75743,52.157764
1081454545.4545,2.2609103,-85.867439,-159.97948,-13.689433,51.865257
1082181818.1818,2.2594757,-84.782364,157.61182,-13.601419,51.585621
1082909090.9091,2.2535777,-82.549248,-176.38426,-13.483101,51.293671
1083636363.6364,2.2553017,-86.05645,167.37404,-13.426626,51.053299
1084363636.3636,2.241457,-81.508781,168.89185,-13.261528,50.761097
1085090909.0909,2.2415638,-82.523148,-175.8241,-13.187842,50.489761
1085818181.8182,2.2394462,-82.606148,178.43462,-13.104503,50.230427
1086545454.5455,2.2424738,-84.539886,175.29929,-13.044103,49.940468
1087272727.2727,2.2387412,-81.10305,163.10628,-12.950878,49.676426
1088000000,2.2332594,-84.153435,151.48532,-12.845167,49.401646
1088727272.7273,2.2384007,-85.750153,-178.89532,-12.803446,49.130646
