Freq(Hz),s21 unwrapped phase(Deg)
2246000000.0,-207.5654
2247000000.0,-207.7182
2248000000.0,-207.4819
2249000000.0,-207.7288
2250000000.0,-207.9184
2251000000.0,-208.0129
2252000000.0,-208.3978
2253000000.0,-208.4896
2254000000.0,-208.7421
2255000000.0,-209.2083
2256000000.0,-209.6779
2257000000.0,-210.076
2258000000.0,-210.7297
2259000000.0,-211.1711
2260000000.0,-211.8072
2261000000.0,-212.3495
2262000000.0,-213.0152
2263000000.0,-213.6478
2264000000.0,-214.248
2265000000.0,-214.7835
2266000000.0,-215.4826
2267000000.0,-216.0222
2268000000.0,-216.3439
2269000000.0,-216.9257
2270000000.0,-217.2815
2271000000.0,-217.6455
2272000000.0,-218.0377
2273000000.0,-218.2361
2274000000.0,-218.4449
2275000000.0,-218.6238
2276000000.0,-218.7009
2277000000.0,-218.8135
2278000000.0,-218.8614
2279000000.0,-218.7958
2280000000.0,-218.6428
2281000000.0,-218.5439
2282000000.0,-218.5834
2283000000.0,-218.2666
2284000000.0,-218.2062
2285000000.0,-218.0699
2286000000.0,-217.9534
2287000000.0,-217.8838
2288000000.0,-217.7995
2289000000.0,-217.8388
2290000000.0,-217.7919
2291000000.0,-217.8541
2292000000.0,-218.023
2293000000.0,-218.2724
2294000000.0,-218.5623
2295000000.0,-218.8521
2296000000.0,-219.0668
2297000000.0,-219.6305
2298000000.0,-220.0504
2299000000.0,-220.7063
2300000000.0,-221.3615
2301000000.0,-221.981
2302000000.0,-222.5749
2303000000.0,-223.2675
2304000000.0,-223.9456
2305000000.0,-224.5145
2306000000.0,-225.2865
2307000000.0,-225.9759
2308000000.0,-226.3742
2309000000.0,-227.1172
2310000000.0,-227.7735
2311000000.0,-228.2092
2312000000.0,-228.4404
2313000000.0,-228.879
2314000000.0,-229.2298
2315000000.0,-229.4946
2316000000.0,-229.8338
2317000000.0,-229.6614
2318000000.0,-229.7338
2319000000.0,-229.915
2320000000.0,-229.7087
2321000000.0,-229.7166
2322000000.0,-229.5012
2323000000.0,-229.4088
2324000000.0,-229.1267
2325000000.0,-228.9533
2326000000.0,-228.7908
2327000000.0,-228.5937
2328000000.0,-228.1278
2329000000.0,-228.0911
2330000000.0,-228.135
2331000000.0,-227.9023
2332000000.0,-227.8171
2333000000.0,-227.8979
2334000000.0,-228.15
2335000000.0,-228.2038
2336000000.0,-228.2914
2337000000.0,-228.6948
2338000000.0,-229.096
2339000000.0,-229.5124
2340000000.0,-230.1602
2341000000.0,-230.6867
2342000000.0,-231.2685
2343000000.0,-231.9834
2344000000.0,-232.6208
2345000000.0,-233.4143
2346000000.0,-234.1865
2347000000.0,-234.629
2348000000.0,-235.6362
2349000000.0,-236.3986
2350000000.0,-237.0545
2351000000.0,-237.7133
2352000000.0,-238.3178
2353000000.0,-238.7353
2354000000.0,-239.1159
2355000000.0,-239.6835
2356000000.0,-240.0475
2357000000.0,-240.3171
2358000000.0,-240.5771
2359000000.0,-240.6638
2360000000.0,-240.8111
2361000000.0,-240.815
2362000000.0,-240.6801
2363000000.0,-240.4886
2364000000.0,-240.4463
2365000000.0,-240.1981
2366000000.0,-239.7459
2367000000.0,-239.6895
2368000000.0,-239.3619
2369000000.0,-239.1196
2370000000.0,-238.8467
2371000000.0,-238.6466
2372000000.0,-238.385
2373000000.0,-238.4294
2374000000.0,-238.2897
2375000000.0,-238.2031
2376000000.0,-238.1171
2377000000.0,-238.0015
2378000000.0,-238.3443
2379000000.0,-238.6266
2380000000.0,-238.9839
2381000000.0,-239.3564
2382000000.0,-239.904
2383000000.0,-240.3606
2384000000.0,-240.9537
2385000000.0,-241.5556
2386000000.0,-242.3611
2387000000.0,-243.1692
2388000000.0,-244.1206
2389000000.0,-244.7144
2390000000.0,-245.497
2391000000.0,-246.2332
2392000000.0,-247.0583
2393000000.0,-247.6305
2394000000.0,-248.3259
2395000000.0,-249.0513
2396000000.0,-249.5968
2397000000.0,-250.1266
2398000000.0,-250.3355
2399000000.0,-250.7286
2400000000.0,-251.1234
2401000000.0,-251.274
2402000000.0,-251.3194
2403000000.0,-251.4058
2404000000.0,-251.2966
2405000000.0,-251.2735
2406000000.0,-251.0642
2407000000.0,-250.9234
2408000000.0,-250.5205
2409000000.0,-250.2937
2410000000.0,-249.9966
2411000000.0,-249.5189
2412000000.0,-249.2331
2413000000.0,-249.0308
2414000000.0,-248.6945
2415000000.0,-248.4555
2416000000.0,-248.2122
2417000000.0,-248.1712
2418000000.0,-248.1433
2419000000.0,-248.1188
2420000000.0,-248.2106
2421000000.0,-248.2948
2422000000.0,-248.5041
2423000000.0,-248.8058
2424000000.0,-249.2956
2425000000.0,-250.0207
2426000000.0,-250.5509
2427000000.0,-251.0735
2428000000.0,-251.923
2429000000.0,-252.5876
2430000000.0,-253.3849
2431000000.0,-254.2267
2432000000.0,-255.099
2433000000.0,-255.8173
2434000000.0,-256.576
2435000000.0,-257.4012
2436000000.0,-258.1027
2437000000.0,-258.7816
2438000000.0,-259.3988
2439000000.0,-260.0577
2440000000.0,-260.4998
2441000000.0,-260.8031
2442000000.0,-261.0727
2443000000.0,-261.3622
2444000000.0,-261.71
2445000000.0,-261.7034
2446000000.0,-261.851
2447000000.0,-261.7384
2448000000.0,-261.4312
2449000000.0,-261.3026
2450000000.0,-261.0078
2451000000.0,-260.6494
2452000000.0,-260.5006
2453000000.0,-260.1129
2454000000.0,-259.7109
2455000000.0,-259.3457
2456000000.0,-259.0989
2457000000.0,-258.6466
2458000000.0,-258.5251
2459000000.0,-258.331
2460000000.0,-258.2011
2461000000.0,-258.0401
2462000000.0,-258.2927
2463000000.0,-258.2947
2464000000.0,-258.4407
2465000000.0,-258.8958
2466000000.0,-258.977
2467000000.0,-259.6179
2468000000.0,-259.9694
2469000000.0,-260.5615
2470000000.0,-261.3055
2471000000.0,-261.9567
2472000000.0,-262.7286
2473000000.0,-263.5787
2474000000.0,-264.2677
2475000000.0,-265.2247
2476000000.0,-266.0961
2477000000.0,-266.8584
2478000000.0,-267.4503
2479000000.0,-268.2124
2480000000.0,-268.7342
2481000000.0,-269.5404
2482000000.0,-270.2037
2483000000.0,-270.575
2484000000.0,-270.9658
2485000000.0,-271.1335
2486000000.0,-271.4414
2487000000.0,-271.7103
