!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:23:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1053090909.0909,0.44423485,-92.043213,88.292381,-748.26813,949.69446
1053818181.8182,0.44358823,-85.491615,106.04547,-749.32397,951.0722
1054545454.5455,0.45053709,-90.369026,169.7382,-749.19397,939.08044
1055272727.2727,0.45385754,-85.381912,103.78883,-763.17194,936.45612
1056000000,0.45320797,-85.565117,138.94112,-769.73682,938.92029
1056727272.7273,0.45723966,-94.074715,124.68592,-772.95343,932.5929
1057454545.4545,0.45782444,-91.114922,85.175301,-788.56281,934.41058
1058181818.1818,0.45972288,-88.48275,102.64655,-795.08118,932.17761
1058909090.9091,0.45964965,-90.71122,130.69786,-809.98041,934.59137
1059636363.6364,0.46012324,-85.1054,100.92579,-810.39838,933.8092
1060363636.3636,0.45622629,-83.395264,75.167313,-821.00421,942.31769
1061090909.0909,0.45908332,-84.771011,72.924377,-827.74133,938.0271
1061818181.8182,0.45082763,-86.702118,95.654915,-843.47351,955.29749
1062545454.5455,0.45290944,-91.017433,103.13863,-844.80914,951.54559
1063272727.2727,0.45550495,-84.617897,76.289925,-860.75952,948.39575
1064000000,0.45167318,-89.514076,24.698071,-860.35388,955.65863
1064727272.7273,0.45276114,-85.286308,39.734608,-873.91852,954.89948
1065454545.4545,0.44542706,-89.170471,15.801465,-870.93909,968.91528
1066181818.1818,0.4464837,-96.833992,-29.792213,-884.54663,968.18835
1066909090.9091,0.4455345,-98.484108,-104.22729,-885.3222,970.15063
1067636363.6364,0.45122319,-91.5093,123.86525,-893.81702,959.53387
1068363636.3636,0.44292352,-97.197685,96.406281,-886.48785,975.48981
1069090909.0909,0.44081676,-90.585289,56.065948,-890.0274,980.08862
1069818181.8182,0.44624758,-86.754692,86.548203,-899.63953,969.93457
1070545454.5455,0.43795297,-89.226173,118.37505,-908.49951,987.66174
1071272727.2727,0.43890169,-88.300285,82.857918,-912.59631,986.0213
1072000000,0.43856037,-87.894577,45.685139,-916.90442,987.06677
