!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:30:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1051636363.6364,-40.511486,0.090323023,0.3146019,50.84164,0.44224924
1052363636.3636,-40.607792,0.091106147,0.30490878,50.834663,0.43281415
1053090909.0909,-40.4063,0.096140102,0.32132137,50.874306,0.40286183
1053818181.8182,-40.512028,0.096698478,0.27495146,50.875481,0.37143287
1054545454.5455,-40.257813,0.097203523,0.28765079,50.909443,0.36402535
1055272727.2727,-40.187855,0.098979309,0.27310336,50.930912,0.33014712
1056000000,-40.270908,0.09930893,0.26003295,50.933331,0.29333758
1056727272.7273,-40.401775,0.099135101,0.26327693,50.930874,0.24933866
1057454545.4545,-40.302734,0.098200761,0.23589382,50.948864,0.22387864
1058181818.1818,-40.262074,0.10166358,0.23420042,50.952972,0.2265407
1058909090.9091,-40.362782,0.097302519,0.23538521,50.952667,0.17292459
1059636363.6364,-40.219028,0.10001561,0.21681084,50.968647,0.17622073
1060363636.3636,-40.476616,0.097544722,0.20469123,50.949215,0.11022296
1061090909.0909,-40.332245,0.093796998,0.20934457,50.963436,0.12676191
1061818181.8182,-40.763916,0.097523466,0.18946649,50.921337,0.073218353
1062545454.5455,-40.66708,0.096858077,0.2035543,50.932121,0.069486678
1063272727.2727,-40.460857,0.098288395,0.18970576,50.955082,0.066323891
1064000000,-40.624027,0.097365439,0.17604321,50.938725,0.035946865
1064727272.7273,-40.252178,0.10036728,0.15317719,50.980915,0.001623681
1065454545.4545,-40.436634,0.096767873,0.17023665,50.960033,-0.011293892
1066181818.1818,-40.58429,0.093053468,0.16165356,50.941914,-0.058816258
1066909090.9091,-40.75346,0.093184166,0.15071514,50.924187,-0.047060482
1067636363.6364,-40.447235,0.096550353,0.15241762,50.956146,-0.072562389
1068363636.3636,-40.968716,0.092733569,0.16101968,50.897102,-0.098449714
1069090909.0909,-40.915966,0.093136556,0.16429618,50.900829,-0.11408931
1069818181.8182,-40.785942,0.094667315,0.15314603,50.911873,-0.13501914
1070545454.5455,-40.798687,0.093801834,0.105285,50.906284,-0.16069214
1071272727.2727,-40.646812,0.094505981,0.12056355,50.920235,-0.17526554
1072000000,-40.53241,0.095703632,0.12181648,50.928261,-0.19866829
1072727272.7273,-40.668064,0.090837866,0.1011415,50.911869,-0.2040385
1073454545.4545,-40.86676,0.09309642,0.11017479,50.878899,-0.24713334
1074181818.1818,-40.88818,0.092920721,0.097048014,50.876087,-0.24871653
1074909090.9091,-41.016949,0.091701895,0.094301514,50.850613,-0.28497496
1075636363.6364,-41.093643,0.090313025,0.092376545,50.828278,-0.32292402
1076363636.3636,-41.201687,0.087354943,0.082621798,50.816566,-0.32240021
1077090909.0909,-41.265289,0.08643198,0.08104603,50.81057,-0.32001188
1077818181.8182,-41.70039,0.084899709,0.083418071,50.751747,-0.34801623
1078545454.5455,-41.904018,0.082449585,0.10346785,50.739109,-0.32916158
1079272727.2727,-41.784763,0.084407426,0.091861151,50.751125,-0.32989082
1080000000,-41.919071,0.081137203,0.10175587,50.734829,-0.33517054
1080727272.7273,-42.010391,0.085845999,0.10380957,50.727337,-0.33110067
1081454545.4545,-42.167664,0.085487269,0.096519835,50.708961,-0.33628204
1082181818.1818,-42.471779,0.084326938,0.098032296,50.686371,-0.320474
1082909090.9091,-42.154751,0.085241683,0.10960243,50.7169,-0.32201076
1083636363.6364,-42.177757,0.08218506,0.09606801,50.708641,-0.33482003
