!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 11:57:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S21(REAL),S21(IMAG),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG)
1047000000,0.86359102,-0.60783583,0.0001952943,8.5644184e-005,0.0001952943,8.5644184e-005,0.86359102,-0.60783583
1048000000,0.86059171,-0.60956126,5.415966e-005,0.00010000253,5.415966e-005,0.00010000253,0.86059171,-0.60956126
1049000000,0.86143667,-0.60756743,-0.00027942986,-1.1755062e-005,-0.00027942986,-1.1755062e-005,0.86143667,-0.60756743
1050000000,0.85922235,-0.61094457,4.6727389e-005,-3.0379135e-005,4.6727389e-005,-3.0379135e-005,0.85922235,-0.61094457
1051000000,0.85872227,-0.60865551,0.0001299742,3.353952e-005,0.0001299742,3.353952e-005,0.85872227,-0.60865551
1052000000,0.85633528,-0.60929757,7.0778311e-005,-0.00028922278,7.0778311e-005,-0.00028922278,0.85633528,-0.60929757
1053000000,0.85497952,-0.6107111,0.0001888195,-0.0001314913,0.0001888195,-0.0001314913,0.85497952,-0.6107111
1054000000,0.85231227,-0.60951334,-8.6959539e-005,7.7154305e-005,-8.6959539e-005,7.7154305e-005,0.85231227,-0.60951334
1055000000,0.85183513,-0.6123147,0.00013853211,-8.5195432e-005,0.00013853211,-8.5195432e-005,0.85183513,-0.6123147
1056000000,0.84978008,-0.60961819,8.03609e-005,-0.00025697344,8.03609e-005,-0.00025697344,0.84978008,-0.60961819
1057000000,0.85035187,-0.6104818,7.33876e-005,-7.0270187e-005,7.33876e-005,-7.0270187e-005,0.85035187,-0.6104818
1058000000,0.84741795,-0.60902119,-0.00023513366,0.00028130083,-0.00023513366,0.00028130083,0.84741795,-0.60902119
1059000000,0.84444088,-0.60973585,-0.00019856085,-1.2045587e-005,-0.00019856085,-1.2045587e-005,0.84444088,-0.60973585
1060000000,0.8455022,-0.60811633,-3.6225563e-005,-1.9294237e-006,-3.6225563e-005,-1.9294237e-006,0.8455022,-0.60811633
1061000000,0.84435028,-0.60772687,4.4693857e-005,5.1655603e-005,4.4693857e-005,5.1655603e-005,0.84435028,-0.60772687
1062000000,0.8425343,-0.60633218,-0.00020195798,0.00010362252,-0.00020195798,0.00010362252,0.8425343,-0.60633218
1063000000,0.84124362,-0.60959083,-3.8807877e-005,8.0541198e-005,-3.8807877e-005,8.0541198e-005,0.84124362,-0.60959083
1064000000,0.83963192,-0.60631973,0.00024312839,-5.4871769e-005,0.00024312839,-5.4871769e-005,0.83963192,-0.60631973
1065000000,0.83913565,-0.6053406,-0.00022076596,0.00010589514,-0.00022076596,0.00010589514,0.83913565,-0.6053406
1066000000,0.83710325,-0.60620052,-0.00039652889,-0.00010126694,-0.00039652889,-0.00010126694,0.83710325,-0.60620052
1067000000,0.83902133,-0.60484958,5.8351521e-005,0.00013946583,5.8351521e-005,0.00013946583,0.83902133,-0.60484958
1068000000,0.83438218,-0.60496992,-5.9188002e-005,0.00018669863,-5.9188002e-005,0.00018669863,0.83438218,-0.60496992
1069000000,0.83561784,-0.60588992,4.8276332e-005,-7.0844639e-005,4.8276332e-005,-7.0844639e-005,0.83561784,-0.60588992
1070000000,0.83229744,-0.60514009,-0.00026890938,0.00012025456,-0.00026890938,0.00012025456,0.83229744,-0.60514009
1071000000,0.83293974,-0.60374087,7.8998957e-005,0.00011855544,7.8998957e-005,0.00011855544,0.83293974,-0.60374087
1072000000,0.83122796,-0.604074,0.00018446235,-7.5251104e-005,0.00018446235,-7.5251104e-005,0.83122796,-0.604074
1073000000,0.83226961,-0.60275155,-0.0001409119,-0.00023771822,-0.0001409119,-0.00023771822,0.83226961,-0.60275155
1074000000,0.83117735,-0.60349125,-0.00040483134,0.00016454152,-0.00040483134,0.00016454152,0.83117735,-0.60349125
1075000000,0.83017468,-0.60239899,-6.5881293e-005,0.0002801432,-6.5881293e-005,0.0002801432,0.83017468,-0.60239899
1076000000,0.8275528,-0.60001868,-0.00023121267,4.5483361e-005,-0.00023121267,4.5483361e-005,0.8275528,-0.60001868
1077000000,0.82880569,-0.6022526,0.00033307952,-7.6229466e-005,0.00033307952,-7.6229466e-005,0.82880569,-0.6022526
1078000000,0.82664627,-0.60025978,-0.00010060364,0.00034224393,-0.00010060364,0.00034224393,0.82664627,-0.60025978
1079000000,0.8262738,-0.6006574,0.00049194193,0.0002482954,0.00049194193,0.0002482954,0.8262738,-0.6006574
1080000000,0.82747817,-0.6012826,-5.3356285e-005,6.971656e-005,-5.3356285e-005,6.971656e-005,0.82747817,-0.6012826
1081000000,0.82515866,-0.59866673,-0.00013793874,-0.0006019256,-0.00013793874,-0.0006019256,0.82515866,-0.59866673
1082000000,0.82590818,-0.60053933,-2.9533199e-005,-0.00016637045,-2.9533199e-005,-0.00016637045,0.82590818,-0.60053933
1083000000,0.82591122,-0.60009634,3.3614568e-005,0.00018420756,3.3614568e-005,0.00018420756,0.82591122,-0.60009634
1084000000,0.82504922,-0.59661555,0.00024054263,0.00023565989,0.00024054263,0.00023565989,0.82504922,-0.59661555
1085000000,0.82317543,-0.60151321,0.00012155321,-0.00031167956,0.00012155321,-0.00031167956,0.82317543,-0.60151321
