ITEM NO.,DESCRIPTION,Manufacturer,PART NUMBER,Supplier,QTY.
1,4 Pole Chassis Connector - 30 A,Neutrik,NL4MP,Allied Electronics,1
2,300 VAC/VDC 20 Amps Terminal Block 4 Circuits,McMaster-Carr,7527K44,McMaster-Carr,1
3,Socket Head Screw 6-32x5/16",McMaster-Carr,92196A145,McMaster-Carr,8
4,Flat Head Phillips Machine Screw 4-40x3/8",McMaster-Carr,91771A108,McMaster-Carr,2
5,Socket Head Screw 4-40x7/16",McMaster-Carr,92196A109,McMaster-Carr,4
