Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.45,,,,,,,,,,,,,,,,-0.065684601,-0.075023372,-0.071461285,-0.05976589,-0.049456089,-0.080032608,-0.068828583,-0.083257437,-0.132934541,-0.163807172,-0.44994627,-0.914525941,-3.56587542,-1.189458258,-0.326444981
0.451,,,,,,,,,,,,,,,,-0.065921488,-0.07529604,-0.071714745,-0.060000125,-0.050073411,-0.080228574,-0.069120897,-0.083630797,-0.133645284,-0.165014313,-0.45617723,-0.932469682,-3.443101139,-1.166619082,-0.323655229
0.452,,,,,,,,,,,,,,,,-0.066158488,-0.075568831,-0.071968634,-0.060236424,-0.050691477,-0.080425115,-0.069414543,-0.084005776,-0.134358532,-0.166231254,-0.462529017,-0.950895277,-3.326499868,-1.144500354,-0.32092273
0.453,,,,,,,,,,,,,,,,-0.066395594,-0.075841736,-0.072222947,-0.060474792,-0.051310256,-0.08062218,-0.069709515,-0.084382373,-0.135074313,-0.167458114,-0.469004583,-0.96981883,-3.215681182,-1.123071914,-0.318246208
0.454,,,,,,,,,,,,,,,,-0.0666328,-0.076114747,-0.072477679,-0.060715237,-0.051929721,-0.080819721,-0.070005809,-0.084760586,-0.135792652,-0.168695014,-0.475606971,-0.98925708,-3.110284375,-1.102305151,-0.315624429
0.455,,,,,,,,,,,,,,,,-0.0668701,-0.076387854,-0.072732826,-0.060957762,-0.052549841,-0.081017693,-0.070303417,-0.085140416,-0.136513577,-0.169942077,-0.48233931,-1.009227423,-3.009975764,-1.082172902,-0.313056201
0.456,,,,,,,,,,,,,,,,-0.067107486,-0.076661049,-0.072988382,-0.061202373,-0.053170586,-0.081216052,-0.070602333,-0.085521861,-0.137237116,-0.171199427,-0.489204825,-1.029747948,-2.914446292,-1.062649374,-0.310540369
0.457,,,,,,,,,,,,,,,,-0.067344952,-0.076934324,-0.073244342,-0.061449076,-0.053791928,-0.081414756,-0.070902552,-0.085904919,-0.137963297,-0.172467193,-0.496206837,-1.050837465,-2.823409379,-1.043710055,-0.308075815
0.458,,,,,,,,,,,,,,,,-0.067582492,-0.077207669,-0.073500701,-0.061697874,-0.054413835,-0.081613765,-0.071204067,-0.08628959,-0.138692148,-0.173745504,-0.503348767,-1.072515539,-2.736599001,-1.02533165,-0.305661457
0.459,,,,,,,,,,,,,,,,-0.067820098,-0.077481076,-0.073757454,-0.061948771,-0.055036279,-0.081813042,-0.071506871,-0.086675872,-0.1394237,-0.175034492,-0.510634138,-1.094802524,-2.653767962,-1.007492002,-0.30329625
0.46,,,,,,,,,,,,,,,,-0.068057763,-0.077754536,-0.074014595,-0.062201771,-0.05565923,-0.08201255,-0.071810958,-0.087063764,-0.140157982,-0.176334291,-0.518066583,-1.117719598,-2.574686331,-0.990170029,-0.300979179
0.461,,,,,,,,,,,,,,,,-0.068295481,-0.07802804,-0.074272119,-0.062456878,-0.056282658,-0.082212254,-0.072116321,-0.087453264,-0.140895025,-0.177645038,-0.525649842,-1.141288804,-2.499140037,-0.973345669,-0.298709264
0.462,,,,,,,,,,,,,,,,-0.068533246,-0.078301579,-0.074530021,-0.062714093,-0.056906532,-0.082412121,-0.072422953,-0.087844371,-0.14163486,-0.178966872,-0.533387774,-1.165533085,-2.426929596,-0.956999812,-0.296485553
0.463,,,,,,,,,,,,,,,,-0.06877105,-0.078575145,-0.074788295,-0.06297342,-0.057530824,-0.08261212,-0.072730848,-0.088237083,-0.142377518,-0.180299935,-0.541284354,-1.190476331,-2.357868956,-0.941114258,-0.294307126
0.464,,,,,,,,,,,,,,,,-0.069008886,-0.078848727,-0.075046935,-0.063234861,-0.058155502,-0.082812221,-0.073039998,-0.088631398,-0.143123033,-0.181644371,-0.549343682,-1.216143421,-2.291784446,-0.925671658,-0.292173092
0.465,,,,,,,,,,,,,,,,-0.069246747,-0.079122318,-0.075305937,-0.063498418,-0.058780538,-0.083012394,-0.073350397,-0.089027314,-0.143871437,-0.183000327,-0.557569986,-1.242560269,-2.228513823,-0.910655473,-0.290082585
0.466,,,,,,,,,,,,,,,,-0.069484627,-0.079395907,-0.075565294,-0.063764091,-0.059405901,-0.083212611,-0.073662036,-0.08942483,-0.144622764,-0.184367951,-0.565967625,-1.269753871,-2.167905398,-0.896049924,-0.28803477
0.467,,,,,,,,,,,,,,,,-0.069722519,-0.079669487,-0.075825002,-0.064031882,-0.06003156,-0.083412848,-0.073974909,-0.089823943,-0.145377048,-0.185747397,-0.574541096,-1.297752361,-2.10981725,-0.88183996,-0.286028833
0.468,,,,,,,,,,,,,,,,-0.069960416,-0.079943047,-0.076085053,-0.064301791,-0.060657487,-0.083613077,-0.074289008,-0.090224651,-0.146134324,-0.187138819,-0.58329504,-1.326585061,-2.054116488,-0.868011208,-0.28406399
0.469,,,,,,,,,,,,,,,,-0.07019831,-0.080216578,-0.076345443,-0.064573819,-0.061283651,-0.083813275,-0.074604326,-0.090626953,-0.146894627,-0.188542374,-0.592234242,-1.35628254,-2.000678599,-0.854549947,-0.282139476
0.47,,,,,,,,,,,,,,,,-0.070436195,-0.080490072,-0.076606166,-0.064847965,-0.061910021,-0.084013419,-0.074920855,-0.091030845,-0.147657993,-0.189958223,-0.601363645,-1.386876671,-1.94938683,-0.841443067,-0.280254554
0.471,,,,,,,,,,,,,,,,-0.070674064,-0.080763519,-0.076867216,-0.065124229,-0.062536568,-0.084213487,-0.075238588,-0.091436327,-0.14842446,-0.19138653,-0.610688346,-1.418400698,-1.900131634,-0.828678038,-0.278408506
0.472,,,,,,,,,,,,,,,,-0.07091191,-0.08103691,-0.077128587,-0.06540261,-0.063163261,-0.084413458,-0.075557516,-0.091843394,-0.149194065,-0.19282746,-0.620213609,-1.450889298,-1.852810155,-0.816242883,-0.276600636
0.473,,,,,,,,,,,,,,,,-0.071149725,-0.081310235,-0.077390273,-0.065683107,-0.06379007,-0.084613311,-0.075877632,-0.092252046,-0.149966846,-0.194281184,-0.629944871,-1.484378654,-1.807325759,-0.804126148,-0.274830271
0.474,,,,,,,,,,,,,,,,-0.071387503,-0.081583485,-0.077652268,-0.065965717,-0.064416966,-0.084813027,-0.076198928,-0.092662279,-0.150742841,-0.195747873,-0.639887741,-1.518906529,-1.763587597,-0.792316872,-0.273096756
0.475,,,,,,,,,,,,,,,,-0.071625237,-0.081856651,-0.077914566,-0.066250439,-0.065043917,-0.085012587,-0.076521395,-0.093074091,-0.151522091,-0.197227704,-0.650048018,-1.554512339,-1.721510209,-0.780804568,-0.271399457
0.476,,,,,,,,,,,,,,,,-0.07186292,-0.082129724,-0.078177162,-0.06653727,-0.065670894,-0.085211974,-0.076845027,-0.09348748,-0.152304636,-0.198720854,-0.660431687,-1.591237241,-1.68101315,-0.769579195,-0.269737758
0.477,,,,,,,,,,,,,,,,-0.072100544,-0.082402693,-0.078440049,-0.066826208,-0.066297867,-0.085411172,-0.077169813,-0.093902442,-0.153090516,-0.200227507,-0.671044936,-1.629124215,-1.642020657,-0.758631134,-0.26811106
0.478,,,,,,,,,,,,,,,,-0.072338102,-0.08267555,-0.078703221,-0.067117249,-0.066924805,-0.085610162,-0.077495746,-0.094318975,-0.153879773,-0.201747847,-0.681894154,-1.668218157,-1.604461328,-0.747951174,-0.266518786
0.479,,,,,,,,,,,,,,,,-0.072575588,-0.082948285,-0.078966671,-0.067410389,-0.067551677,-0.085808932,-0.077822818,-0.094737076,-0.15467245,-0.203282064,-0.692985949,-1.708565974,-1.568267838,-0.737530485,-0.26496037
0.48,,,,,,,,,,,,,,,,-0.072812994,-0.083220888,-0.079230395,-0.067705625,-0.068178455,-0.086007464,-0.078151021,-0.095156743,-0.155468591,-0.204830349,-0.704327148,-1.750216687,-1.533376666,-0.727360602,-0.263435268
0.481,,,,,,,,,,,,,,,,-0.073050313,-0.08349335,-0.079494385,-0.068002952,-0.068805107,-0.086205746,-0.078480345,-0.095577973,-0.156268238,-0.206392899,-0.71592481,-1.793221537,-1.499727848,-0.717433409,-0.261942948
0.482,,,,,,,,,,,,,,,,-0.073287538,-0.083765662,-0.079758635,-0.068302365,-0.069431604,-0.086403764,-0.078810782,-0.096000762,-0.157071436,-0.207969914,-0.727786233,-1.837634097,-1.467264749,-0.707741119,-0.260482896
0.483,,,,,,,,,,,,,,,,-0.073524662,-0.084037813,-0.080023139,-0.068603859,-0.070057914,-0.086601505,-0.079142323,-0.096425107,-0.157878232,-0.209561595,-0.739918965,-1.883510398,-1.435933845,-0.69827626,-0.25905461
0.484,,,,,,,,,,,,,,,,-0.073761678,-0.084309795,-0.080287891,-0.068907429,-0.070684009,-0.086798956,-0.07947496,-0.096851007,-0.158688671,-0.211168152,-0.752330814,-1.930909046,-1.405684529,-0.68903166,-0.257657607
0.485,,,,,,,,,,,,,,,,-0.073998578,-0.084581598,-0.080552884,-0.069213069,-0.071309858,-0.086996106,-0.079808684,-0.097278457,-0.1595028,-0.212789793,-0.765029855,-1.979891366,-1.376468926,-0.680000435,-0.256291413
0.486,,,,,,,,,,,,,,,,-0.074235356,-0.084853212,-0.080818112,-0.069520772,-0.07193543,-0.087192944,-0.080143486,-0.097707455,-0.160320668,-0.214426734,-0.778024445,-2.030521538,-1.34824172,-0.671175968,-0.254955571
0.487,,,,,,,,,,,,,,,,-0.074472004,-0.085124627,-0.081083569,-0.069830532,-0.072560695,-0.087389459,-0.080479357,-0.098137997,-0.161142322,-0.216079194,-0.791323232,-2.082866748,-1.320959999,-0.662551908,-0.253649635
0.488,,,,,,,,,,,,,,,,-0.074708514,-0.085395834,-0.081349247,-0.070142342,-0.073185624,-0.087585641,-0.080816288,-0.09857008,-0.161967813,-0.217747396,-0.804935166,-2.136997351,-1.294583106,-0.654122148,-0.252373173
0.489,,,,,,,,,,,,,,,,-0.074944881,-0.085666823,-0.081615141,-0.070456194,-0.073810186,-0.087781481,-0.081154269,-0.099003702,-0.162797191,-0.219431566,-0.818869514,-2.192987036,-1.269072501,-0.645880818,-0.251125766
0.49,,,,,,,,,,,,,,,,-0.075181096,-0.085937585,-0.081881244,-0.07077208,-0.074434352,-0.087976968,-0.081493292,-0.099438858,-0.163630507,-0.221131937,-0.833135869,-2.250913009,-1.244391633,-0.637822274,-0.249907004
0.491,,,,,,,,,,,,,,,,-0.075417152,-0.08620811,-0.082147549,-0.071089993,-0.07505809,-0.088172094,-0.081833348,-0.099875546,-0.164467813,-0.222848742,-0.847744166,-2.310856185,-1.220505821,-0.629941088,-0.248716491
0.492,,,,,,,,,,,,,,,,-0.075653043,-0.086478388,-0.08241405,-0.071409923,-0.075681371,-0.088366851,-0.082174428,-0.100313763,-0.165309162,-0.224582224,-0.862704696,-2.372901387,-1.197382144,-0.622232036,-0.247553842
0.493,,,,,,,,,,,,,,,,-0.075888761,-0.086748409,-0.08268074,-0.071731862,-0.076304166,-0.088561231,-0.082516521,-0.100753504,-0.166154609,-0.226332626,-0.878028119,-2.437137565,-1.174989336,-0.614690094,-0.246418681
0.494,,,,,,,,,,,,,,,,-0.076124299,-0.087018164,-0.082947612,-0.072055801,-0.076926444,-0.088755226,-0.082859619,-0.101194768,-0.167004207,-0.228100198,-0.893725479,-2.503658028,-1.153297689,-0.607310423,-0.245310646
0.495,,,,,,,,,,,,,,,,-0.076359649,-0.087287643,-0.083214661,-0.072381729,-0.077548174,-0.08894883,-0.083203712,-0.10163755,-0.167858012,-0.229885193,-0.909808223,-2.572560687,-1.132278964,-0.600088365,-0.244229382
0.496,,,,,,,,,,,,,,,,-0.076594804,-0.087556837,-0.083481878,-0.072709637,-0.078169328,-0.089142035,-0.083548791,-0.102081846,-0.168716082,-0.231687871,-0.926288215,-2.643948321,-1.111906306,-0.593019434,-0.243174546
0.497,,,,,,,,,,,,,,,,-0.076829758,-0.087825735,-0.083749258,-0.073039515,-0.078789875,-0.089334835,-0.083894846,-0.102527655,-0.169578473,-0.233508494,-0.943177753,-2.717928854,-1.092154163,-0.586099308,-0.242145802
0.498,,,,,,,,,,,,,,,,-0.077064503,-0.088094328,-0.084016793,-0.073371352,-0.079409786,-0.089527224,-0.084241868,-0.102974972,-0.170445245,-0.235347333,-0.96048959,-2.794615659,-1.072998215,-0.579323823,-0.241142827
0.499,,,,,,,,,,,,,,,,-0.077299032,-0.088362606,-0.084284477,-0.073705135,-0.080029031,-0.089719197,-0.084589847,-0.103423794,-0.171316456,-0.237204661,-0.97823695,-2.874127882,-1.054415306,-0.572688965,-0.240165303
0.5,,,,,,,,,,,,,,,,-0.077533337,-0.088630559,-0.084552304,-0.074040855,-0.080647579,-0.089910747,-0.084938774,-0.103874117,-0.172192168,-0.239080757,-0.99643355,-2.956590784,-1.036383372,-0.566190865,-0.239212925
0.501,,,,,,,,,,,,,,,,-0.077767411,-0.088898178,-0.084820265,-0.074378499,-0.081265402,-0.09010187,-0.085288639,-0.104325939,-0.173072441,-0.240975906,-1.015093621,-3.042136117,-1.01888139,-0.559825792,-0.238285394
0.502,,,,,,,,,,,,,,,,-0.078001248,-0.089165453,-0.085088355,-0.074718055,-0.08188247,-0.090292562,-0.085639432,-0.104779255,-0.173957338,-0.242890397,-1.034231929,-3.130902527,-1.001889315,-0.553590146,-0.23738242
0.503,,,,,,,,,,,,,,,,-0.07823484,-0.089432374,-0.085356566,-0.075059511,-0.082498753,-0.090482817,-0.085991143,-0.105234062,-0.174846923,-0.244824527,-1.053863797,-3.223035983,-0.985388026,-0.547480457,-0.23650372
0.504,,,,,,,,,,,,,,,,-0.078468179,-0.089698931,-0.085624891,-0.075402853,-0.083114221,-0.090672632,-0.086343763,-0.105690357,-0.175741261,-0.246778597,-1.074005132,-3.318690253,-0.969359281,-0.541493374,-0.235649021
0.505,,,,,,,,,,,,,,,,-0.078701259,-0.089965115,-0.085893324,-0.075748068,-0.083728846,-0.090862003,-0.086697282,-0.106148137,-0.176640416,-0.248752913,-1.094672448,-3.418027408,-0.953785667,-0.535625664,-0.234818056
0.506,,,,,,,,,,,,,,,,-0.078934073,-0.090230916,-0.086161858,-0.076095142,-0.084342597,-0.091050925,-0.08705169,-0.106607398,-0.177544456,-0.250747789,-1.115882893,-3.521218377,-0.938650553,-0.529874205,-0.234010567
0.507,,,,,,,,,,,,,,,,-0.079166612,-0.090496324,-0.086430485,-0.076444063,-0.084955445,-0.091239397,-0.087406977,-0.107068136,-0.178453449,-0.252763545,-1.137654277,-3.62844355,-0.923938056,-0.524235983,-0.233226302
0.508,,,,,,,,,,,,,,,,-0.079398871,-0.09076133,-0.086699199,-0.076794814,-0.085567362,-0.091427414,-0.087763133,-0.107530349,-0.179367463,-0.254800506,-1.160005099,-3.739893432,-0.909632993,-0.518708087,-0.232465017
0.509,,,,,,,,,,,,,,,,-0.079630842,-0.091025923,-0.086967993,-0.077147382,-0.086178317,-0.091614975,-0.088120149,-0.107994032,-0.180286568,-0.256859003,-1.182954582,-3.855769368,-0.895720853,-0.513287705,-0.231726474
0.51,,,,,,,,,,,,,,,,-0.079862517,-0.091290095,-0.087236859,-0.077501752,-0.086788283,-0.091802075,-0.088478014,-0.108459183,-0.181210836,-0.258939375,-1.2065227,-3.976284329,-0.882187756,-0.507972121,-0.231010442
0.511,,,,,,,,,,,,,,,,-0.08009389,-0.091553834,-0.087505791,-0.077857908,-0.087397228,-0.091988714,-0.088836718,-0.108925798,-0.182140339,-0.261041967,-1.230730213,-4.101663782,-0.869020424,-0.502758708,-0.230316697
0.512,,,,,,,,,,,,,,,,-0.080324953,-0.091817132,-0.087774781,-0.078215835,-0.088005126,-0.092174888,-0.089196253,-0.109393874,-0.183075151,-0.263167131,-1.255598704,-4.232146649,-0.856206149,-0.497644927,-0.229645022
0.513,,,,,,,,,,,,,,,,-0.080555699,-0.092079979,-0.088043822,-0.078575516,-0.088611946,-0.092360596,-0.089556606,-0.109863408,-0.184015345,-0.265315226,-1.281150615,-4.367986371,-0.843732765,-0.492628326,-0.228995206
0.514,,,,,,,,,,,,,,,,-0.080786122,-0.092342366,-0.088312908,-0.078936935,-0.089217659,-0.092545837,-0.08991777,-0.110334395,-0.184960999,-0.267486616,-1.307409282,-4.509452084,-0.83158862,-0.487706532,-0.228367043
0.515,,,,,,,,,,,,,,,,-0.081016214,-0.092604281,-0.088582031,-0.079300076,-0.089822238,-0.092730608,-0.090279732,-0.110806834,-0.185912189,-0.269681677,-1.334398983,-4.656829933,-0.819762552,-0.482877248,-0.227760335
0.516,,,,,,,,,,,,,,,,-0.081245967,-0.092865717,-0.088851184,-0.079664921,-0.090425653,-0.092914909,-0.090642485,-0.111280721,-0.186868993,-0.271900787,-1.362144972,-4.81042454,-0.808243862,-0.478138256,-0.227174888
0.517,,,,,,,,,,,,,,,,-0.081475376,-0.093126663,-0.089120359,-0.080031454,-0.091027876,-0.093098739,-0.091006016,-0.111756052,-0.187831492,-0.274144335,-1.390673532,-4.970560645,-0.797022294,-0.473487407,-0.226610515
0.518,,,,,,,,,,,,,,,,-0.081704432,-0.09338711,-0.089389551,-0.080399655,-0.091628878,-0.093282096,-0.091370318,-0.112232825,-0.188799766,-0.276412717,-1.420012014,-5.137584961,-0.786088012,-0.468922622,-0.226067036
0.519,,,,,,,,,,,,,,,,-0.081933128,-0.093647047,-0.08965875,-0.080769509,-0.09222863,-0.09346498,-0.091735378,-0.112711036,-0.189773898,-0.278706337,-1.450188895,-5.311868255,-0.775431582,-0.46444189,-0.225544273
0.52,,,,,,,,,,,,,,,,-0.082161459,-0.093906466,-0.089927951,-0.081140995,-0.092827105,-0.09364739,-0.092101188,-0.113190682,-0.19075397,-0.281025607,-1.481233821,-5.493807716,-0.765043948,-0.460043261,-0.225042057
0.521,,,,,,,,,,,,,,,,-0.082389416,-0.094165357,-0.090197147,-0.081514096,-0.093424274,-0.093829327,-0.092467737,-0.11367176,-0.191740069,-0.283370946,-1.513177669,-5.683829637,-0.754916419,-0.455724851,-0.224560222
0.522,,,,,,,,,,,,,,,,-0.082616992,-0.09442371,-0.090466329,-0.081888793,-0.094020109,-0.094010789,-0.092835016,-0.114154268,-0.19273228,-0.285742783,-1.546052599,-5.882392483,-0.745040647,-0.451484833,-0.22409861
0.523,,,,,,,,,,,,,,,,-0.082844181,-0.094681515,-0.09073549,-0.082265066,-0.094614582,-0.094191777,-0.093203013,-0.114638203,-0.193730691,-0.288141556,-1.579892118,-6.089990393,-0.735408617,-0.447321437,-0.223657066
0.524,,,,,,,,,,,,,,,,-0.083070976,-0.094938764,-0.091004624,-0.082642896,-0.095207665,-0.094372291,-0.09357172,-0.11512356,-0.194735391,-0.290567711,-1.61473114,-6.307157208,-0.726012625,-0.443232949,-0.223235441
0.525,,,,,,,,,,,,,,,,-0.083297369,-0.095195446,-0.091273724,-0.083022263,-0.095799329,-0.094552332,-0.093941126,-0.115610339,-0.19574647,-0.293021702,-1.650606058,-6.534471123,-0.716845267,-0.43921771,-0.222833592
0.526,,,,,,,,,,,,,,,,-0.083523354,-0.095451553,-0.091542781,-0.083403147,-0.096389548,-0.0947319,-0.094311221,-0.116098535,-0.196764021,-0.295503996,-1.687554806,-6.772560055,-0.707899425,-0.435274109,-0.222451379
0.527,,,,,,,,,,,,,,,,-0.083748923,-0.095707074,-0.091811788,-0.083785527,-0.096978293,-0.094910995,-0.094681996,-0.116588147,-0.197788138,-0.298015064,-1.725616943,-7.022107902,-0.699168254,-0.431400587,-0.222088669
0.528,,,,,,,,,,,,,,,,-0.08397407,-0.095962,-0.09208074,-0.084169383,-0.097565537,-0.095089619,-0.095053439,-0.117079171,-0.198818914,-0.300555393,-1.764833721,-7.283861828,-0.690645169,-0.427595632,-0.221745333
0.529,,,,,,,,,,,,,,,,-0.084198787,-0.096216323,-0.092349627,-0.084554694,-0.098151253,-0.095267771,-0.095425541,-0.117571605,-0.199856446,-0.303125474,-1.805248173,-7.558640813,-0.682323833,-0.423857777,-0.221421248
0.53,,,,,,,,,,,,,,,,-0.084423069,-0.096470032,-0.092618443,-0.084941438,-0.098735413,-0.095445455,-0.095798293,-0.118065446,-0.200900833,-0.305725811,-1.846905199,-7.8473457,-0.674198146,-0.420185601,-0.221116296
0.531,,,,,,,,,,,,,,,,-0.084646907,-0.096723117,-0.09288718,-0.085329593,-0.099317989,-0.095622669,-0.096171684,-0.118560693,-0.201952175,-0.30835692,-1.889851655,-8.150971069,-0.666262236,-0.416577725,-0.220830361
0.532,,,,,,,,,,,,,,,,-0.084870296,-0.096975571,-0.093155832,-0.085719139,-0.099898956,-0.095799417,-0.096545704,-0.119057342,-0.203010571,-0.311019325,-1.93413645,-8.470619324,-0.658510447,-0.413032812,-0.220563336
0.533,,,,,,,,,,,,,,,,-0.085093228,-0.097227383,-0.09342439,-0.086110052,-0.100478285,-0.095975699,-0.096920344,-0.119555392,-0.204076125,-0.313713561,-1.979810646,-8.807517476,-0.65093733,-0.409549563,-0.220315116
0.534,,,,,,,,,,,,,,,,-0.085315696,-0.097478544,-0.093692849,-0.08650231,-0.10105595,-0.096151517,-0.097295593,-0.12005484,-0.205148942,-0.316440175,-2.026927569,-9.163037222,-0.643537635,-0.406126721,-0.220085603
0.535,,,,,,,,,,,,,,,,-0.085537694,-0.097729045,-0.093961199,-0.086895891,-0.101631925,-0.096326872,-0.097671441,-0.120555684,-0.206229128,-0.319199727,-2.075542916,-9.538719058,-0.636306301,-0.402763062,-0.219874703
0.536,,,,,,,,,,,,,,,,-0.085759215,-0.097978877,-0.094229435,-0.087290771,-0.102206182,-0.096501767,-0.09804788,-0.121057922,-0.20731679,-0.321992785,-2.12571488,-9.936301365,-0.629238448,-0.399457402,-0.219682325
0.537,,,,,,,,,,,,,,,,-0.085980252,-0.09822803,-0.094497548,-0.087686928,-0.102778694,-0.096676204,-0.098424898,-0.121561553,-0.208412039,-0.324819932,-2.17750427,-10.35775557,-0.622329371,-0.396208589,-0.219508386
0.538,,,,,,,,,,,,,,,,-0.086200798,-0.098476495,-0.094765531,-0.088084337,-0.103349437,-0.096850184,-0.098802487,-0.122066573,-0.209514985,-0.327681761,-2.23097465,-10.80532876,-0.615574531,-0.393015505,-0.219352807
0.539,,,,,,,,,,,,,,,,-0.086420847,-0.098724264,-0.095033377,-0.088482975,-0.103918382,-0.097023709,-0.099180636,-0.122572982,-0.210625741,-0.330578881,-2.286192476,-11.28159539,-0.608969547,-0.389877066,-0.219215513
0.54,,,,,,,,,,,,,,,,-0.086640392,-0.098971327,-0.09530108,-0.088882819,-0.104485505,-0.097196783,-0.099559336,-0.123080778,-0.211744423,-0.33351191,-2.343227248,-11.78951981,-0.602510192,-0.386792217,-0.219096435
0.541,,,,,,,,,,,,,,,,-0.086859426,-0.099217675,-0.09556863,-0.089283843,-0.105050779,-0.097369407,-0.099938578,-0.123589959,-0.212871147,-0.33648148,-2.402151667,-12.33253146,-0.596192385,-0.383759936,-0.218995508
0.542,,,,,,,,,,,,,,,,-0.087077943,-0.099463298,-0.095836022,-0.089686023,-0.105614179,-0.097541584,-0.100318351,-0.124100524,-0.214006032,-0.339488239,-2.463041801,-12.91461384,-0.590012184,-0.380779227,-0.218912673
0.543,,,,,,,,,,,,,,,,-0.087295936,-0.099708189,-0.096103247,-0.090089335,-0.106175678,-0.097713317,-0.100698646,-0.124612472,-0.215149198,-0.342532846,-2.525977267,-13.54040673,-0.583965784,-0.377849126,-0.218847877
0.544,,,,,,,,,,,,,,,,-0.087513398,-0.099952338,-0.096370299,-0.090493754,-0.106735251,-0.097884608,-0.101079453,-0.125125801,-0.216300769,-0.345615975,-2.591041416,-14.21531608,-0.578049507,-0.374968693,-0.21880107
0.545,,,,,,,,,,,,,,,,-0.087730324,-0.100195736,-0.09663717,-0.090899253,-0.107292872,-0.09805546,-0.101460764,-0.12564051,-0.217460868,-0.348738316,-2.658321538,-14.94561478,-0.572259799,-0.372137017,-0.218772209
0.546,,,,,,,,,,,,,,,,-0.087946706,-0.100438374,-0.096903852,-0.091305809,-0.107848517,-0.098225875,-0.101842568,-0.126156598,-0.218629622,-0.35190057,-2.727909072,-15.73849134,-0.566593224,-0.369353212,-0.218761256
0.547,,,,,,,,,,,,,,,,-0.088162537,-0.100680244,-0.09717034,-0.091713394,-0.10840216,-0.098395858,-0.102224856,-0.126674065,-0.219807159,-0.355103457,-2.799899835,-16.60194352,-0.561046463,-0.366616416,-0.218768178
0.548,,,,,,,,,,,,,,,,-0.088377812,-0.100921336,-0.097436624,-0.092121984,-0.108953776,-0.098565411,-0.102607619,-0.127192909,-0.22099361,-0.358347711,-2.874394269,-17.5442787,-0.555616302,-0.363925792,-0.218792948
0.549,,,,,,,,,,,,,,,,-0.088592524,-0.101161642,-0.097702698,-0.092531551,-0.10950334,-0.098734536,-0.102990848,-0.127713129,-0.222189108,-0.361634082,-2.951497694,-18.57267382,-0.550299635,-0.361280526,-0.218835544
0.55,,,,,,,,,,,,,,,,-0.088806667,-0.101401154,-0.097968555,-0.092942071,-0.110050827,-0.098903238,-0.103374533,-0.128234726,-0.223393787,-0.364963336,-3.031320589,-19.68956165,-0.545093457,-0.358679827,-0.218895952
0.551,,,,,,,,,,,,,,,,-0.089020233,-0.101639862,-0.098234188,-0.093353515,-0.110596213,-0.09907152,-0.103758665,-0.1287577,-0.224607785,-0.368336256,-3.113978889,-20.88419521,-0.539994859,-0.356122924,-0.218974161
0.552,,,,,,,,,,,,,,,,-0.089233217,-0.101877757,-0.098499588,-0.093765858,-0.111139474,-0.099239385,-0.104143235,-0.129282048,-0.225831241,-0.371753644,-3.199594304,-22.114515,-0.535001026,-0.353609069,-0.219070168
0.553,,,,,,,,,,,,,,,,-0.089445613,-0.102114832,-0.098764749,-0.094179072,-0.111680585,-0.099406837,-0.104528235,-0.129807773,-0.227064295,-0.375216316,-3.288294656,-23.27458051,-0.53010923,-0.351137535,-0.219183974
0.554,,,,,,,,,,,,,,,,-0.089657414,-0.102351078,-0.099029664,-0.094593131,-0.112219522,-0.099573878,-0.104913654,-0.130334873,-0.228307093,-0.378725108,-3.380214254,-24.16149124,-0.525316834,-0.348707613,-0.219315589
0.555,,,,,,,,,,,,,,,,-0.089868613,-0.102586486,-0.099294325,-0.095008006,-0.112756261,-0.099740514,-0.105299485,-0.130863349,-0.22955978,-0.382280876,-3.475494285,-24.5151748,-0.520621279,-0.346318614,-0.219465029
0.556,,,,,,,,,,,,,,,,-0.090079206,-0.102821048,-0.099558725,-0.095423671,-0.113290779,-0.099906747,-0.105685718,-0.131393201,-0.230822504,-0.385884492,-3.574283241,-24.20168767,-0.51602009,-0.343969868,-0.219632314
