Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.03,,,,,,,,,,,,,,,,-0.002993933,-0.002777461,-0.003653881,-0.003095157,-0.002728111,-0.003482989,-0.004002858,-0.003660288,-0.003901773,-0.004513267,-0.004704242,-0.004263687,-0.004914896,-0.004669892,-0.005336066
0.031,,,,,,,,,,,,,,,,-0.002908238,-0.002685022,-0.003585839,-0.002995371,-0.002627711,-0.003408626,-0.003938836,-0.003589975,-0.003837687,-0.004456461,-0.004661438,-0.00421923,-0.004886456,-0.004649885,-0.005351211
0.032,,,,,,,,,,,,,,,,-0.002820003,-0.002590202,-0.003515147,-0.002893026,-0.002524919,-0.003331535,-0.003871857,-0.003516856,-0.00377077,-0.004396691,-0.004615948,-0.00417252,-0.004856272,-0.004629043,-0.005368464
0.033,,,,,,,,,,,,,,,,-0.002730726,-0.00249451,-0.003443305,-0.002789752,-0.00242129,-0.003253229,-0.003803469,-0.00344245,-0.00370255,-0.004335553,-0.00456934,-0.004125067,-0.004825931,-0.004608877,-0.005389349
0.034,,,,,,,,,,,,,,,,-0.002641715,-0.002399261,-0.003371625,-0.002686967,-0.002318175,-0.003175031,-0.003735024,-0.003368088,-0.003634364,-0.004274448,-0.004522986,-0.004078197,-0.004796823,-0.004590709,-0.005415187
0.035,,,,,,,,,,,,,,,,-0.002554103,-0.00230559,-0.003301243,-0.002585894,-0.002216744,-0.003098087,-0.003667699,-0.003294924,-0.003567374,-0.004214588,-0.004478081,-0.004033062,-0.004770151,-0.004575682,-0.005447109
0.036,,,,,,,,,,,,,,,,-0.002468857,-0.002214469,-0.003233131,-0.002487574,-0.002117994,-0.003023379,-0.003602499,-0.003223948,-0.003502578,-0.004157016,-0.00443565,-0.003990656,-0.004746951,-0.00456478,-0.00548607
0.037,,,,,,,,,,,,,,,,-0.002386798,-0.002126716,-0.003168114,-0.002392887,-0.002022769,-0.002951741,-0.003540281,-0.003156002,-0.003440826,-0.004102615,-0.004396569,-0.003951824,-0.004728103,-0.004558837,-0.005532871
0.038,,,,,,,,,,,,,,,,-0.002308609,-0.002043017,-0.003106881,-0.002302564,-0.001931771,-0.002883871,-0.003481762,-0.003091792,-0.003382831,-0.004052129,-0.004361575,-0.003917281,-0.004714347,-0.004558553,-0.005588172
0.039,,,,,,,,,,,,,,,,-0.002234852,-0.001963931,-0.00305,-0.0022172,-0.001845576,-0.002820342,-0.003427532,-0.003031901,-0.003329183,-0.004006171,-0.004331277,-0.003887621,-0.004706296,-0.004564508,-0.005652507
0.04,,,,,,,,,,,,,,,,-0.002165977,-0.001889908,-0.002997929,-0.002137274,-0.001764645,-0.00276162,-0.003378071,-0.002976801,-0.003280362,-0.003965239,-0.004306175,-0.003863326,-0.004704445,-0.00457717,-0.005726296
0.041,,,,,,,,,,,,,,,,-0.002102339,-0.0018213,-0.002951028,-0.002063154,-0.001689339,-0.002708068,-0.003333757,-0.002926867,-0.003236749,-0.003929726,-0.004286663,-0.003844784,-0.004709191,-0.004596912,-0.00580986
0.042,,,,,,,,,,,,,,,,-0.002044202,-0.001758368,-0.002909568,-0.001995115,-0.001619928,-0.002659963,-0.003294876,-0.002882382,-0.003198634,-0.003899932,-0.004273047,-0.003832295,-0.004720836,-0.004624017,-0.005903435
0.043,,,,,,,,,,,,,,,,-0.001991755,-0.001701298,-0.002873744,-0.001933349,-0.001556601,-0.002617504,-0.003261636,-0.002843554,-0.003166232,-0.003876076,-0.004265553,-0.00382608,-0.004739602,-0.004658695,-0.006007176
0.044,,,,,,,,,,,,,,,,-0.001945115,-0.001650206,-0.002843682,-0.001877971,-0.001499479,-0.00258082,-0.003234173,-0.002810519,-0.003139685,-0.003858304,-0.004264334,-0.003826293,-0.004765639,-0.004701084,-0.006121172
0.045,,,,,,,,,,,,,,,,-0.001904343,-0.001605148,-0.002819448,-0.001829033,-0.001448618,-0.002549978,-0.003212561,-0.002783354,-0.003119075,-0.003846696,-0.004269482,-0.003833027,-0.004799035,-0.004751265,-0.006245456
0.046,,,,,,,,,,,,,,,,-0.001869444,-0.001566127,-0.002801053,-0.001786531,-0.001404024,-0.002524995,-0.003196819,-0.002762081,-0.003104432,-0.003841278,-0.004281032,-0.003846322,-0.00483982,-0.004809264,-0.006380007
0.047,,,,,,,,,,,,,,,,-0.001840378,-0.001533102,-0.002788465,-0.001750411,-0.001365651,-0.002505838,-0.00318692,-0.002746676,-0.003095735,-0.003842025,-0.004298971,-0.00386617,-0.004887979,-0.004875065,-0.006524764
0.048,,,,,,,,,,,,,,,,-0.001817068,-0.001505989,-0.002781611,-0.001720576,-0.001333419,-0.002492437,-0.003182794,-0.002737074,-0.003092927,-0.003848873,-0.004323247,-0.003892525,-0.004943453,-0.004948609,-0.00667963
